Data_set,Noise_level,Approach,Run,cpu_time
sens_SBS35_100_1066,Realistic,mSigHdp_ds_3k,seed.1076753,1302195.3579999995
sens_SBS35_100_1066,Realistic,mSigHdp_ds_3k,seed.145879,1315928.6120000002
sens_SBS35_100_1066,Realistic,mSigHdp_ds_3k,seed.200437,1307015.6609999998
sens_SBS35_100_1066,Realistic,mSigHdp_ds_3k,seed.310111,1313544.7969999998
sens_SBS35_100_1066,Realistic,mSigHdp_ds_3k,seed.528401,1311268.8370000008
sens_SBS35_100_1066,Realistic,SigProfilerExtractor,seed.1076753,341470.1600000001
sens_SBS35_100_1066,Realistic,SigProfilerExtractor,seed.145879,342934.66
sens_SBS35_100_1066,Realistic,SigProfilerExtractor,seed.200437,343777.69999999995
sens_SBS35_100_1066,Realistic,SigProfilerExtractor,seed.310111,341787.0700000001
sens_SBS35_100_1066,Realistic,SigProfilerExtractor,seed.528401,344298.5699999999
