Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3343
low confidence hdp.3,3172
low confidence hdp.4,3060
low confidence hdp.5,3046
low confidence hdp.6,2659
low confidence hdp.7,2290
low confidence hdp.8,2181
low confidence hdp.9,1800
low confidence hdp.10,1794
low confidence hdp.11,1619
low confidence hdp.12,1400
low confidence hdp.13,1338
low confidence hdp.14,1286
low confidence hdp.15,1006
low confidence hdp.16,1000
low confidence hdp.17,803
low confidence hdp.18,796
low confidence hdp.19,773
low confidence hdp.20,737
low confidence hdp.21,688
low confidence hdp.22,602
low confidence hdp.23,600
low confidence hdp.24,485
low confidence hdp.25,476
low confidence hdp.26,403
low confidence hdp.27,400
low confidence hdp.28,400
low confidence hdp.29,398
low confidence hdp.30,386
low confidence hdp.31,363
low confidence hdp.32,362
low confidence hdp.33,346
low confidence hdp.34,316
low confidence hdp.35,293
low confidence hdp.36,291
low confidence hdp.37,272
low confidence hdp.38,265
low confidence hdp.39,258
low confidence hdp.40,248
low confidence hdp.41,235
low confidence hdp.42,200
low confidence hdp.43,200
low confidence hdp.44,200
low confidence hdp.45,200
low confidence hdp.46,200
low confidence hdp.47,200
low confidence hdp.48,186
low confidence hdp.49,177
low confidence hdp.50,175
low confidence hdp.51,140
low confidence hdp.52,132
low confidence hdp.53,130
low confidence hdp.54,127
low confidence hdp.55,126
low confidence hdp.56,117
low confidence hdp.57,96
low confidence hdp.58,93
low confidence hdp.59,92
low confidence hdp.60,88
low confidence hdp.61,85
low confidence hdp.62,79
low confidence hdp.63,78
low confidence hdp.64,75
low confidence hdp.65,73
low confidence hdp.66,69
low confidence hdp.67,55
low confidence hdp.68,55
low confidence hdp.69,45
low confidence hdp.70,40
low confidence hdp.71,39
low confidence hdp.72,39
low confidence hdp.73,38
low confidence hdp.74,37
low confidence hdp.75,37
low confidence hdp.76,36
low confidence hdp.77,30
low confidence hdp.78,29
low confidence hdp.79,25
low confidence hdp.80,22
low confidence hdp.81,18
low confidence hdp.82,18
low confidence hdp.83,18
low confidence hdp.84,15
low confidence hdp.85,15
low confidence hdp.86,11
low confidence hdp.87,11
low confidence hdp.88,10
low confidence hdp.89,10
low confidence hdp.90,9
low confidence hdp.91,8
low confidence hdp.92,8
low confidence hdp.93,8
low confidence hdp.94,8
low confidence hdp.95,6
low confidence hdp.96,6
low confidence hdp.97,6
low confidence hdp.98,6
low confidence hdp.99,4
low confidence hdp.100,4
low confidence hdp.101,4
low confidence hdp.102,4
low confidence hdp.103,4
low confidence hdp.104,4
low confidence hdp.105,4
low confidence hdp.106,3
low confidence hdp.107,3
low confidence hdp.108,2
low confidence hdp.109,2
low confidence hdp.110,2
low confidence hdp.111,2
low confidence hdp.112,2
low confidence hdp.113,2
low confidence hdp.114,2
low confidence hdp.115,2
low confidence hdp.116,2
low confidence hdp.117,2
low confidence hdp.118,2
low confidence hdp.119,2
low confidence hdp.120,2
low confidence hdp.121,2
low confidence hdp.122,2
low confidence hdp.123,2
low confidence hdp.124,2
low confidence hdp.125,2
low confidence hdp.126,2
low confidence hdp.127,2
low confidence hdp.128,2
low confidence hdp.129,2
low confidence hdp.130,2
low confidence hdp.131,2
low confidence hdp.132,2
low confidence hdp.133,2
low confidence hdp.134,2
low confidence hdp.135,2
low confidence hdp.136,2
low confidence hdp.137,2
low confidence hdp.138,2
low confidence hdp.139,2
low confidence hdp.140,2
low confidence hdp.141,2
low confidence hdp.142,2
