Signature,NumberOfPostSamples
low confidence hdp.1,1400
low confidence hdp.2,1400
low confidence hdp.3,1400
low confidence hdp.4,1400
low confidence hdp.5,1400
low confidence hdp.6,1397
low confidence hdp.7,1200
low confidence hdp.8,1200
low confidence hdp.9,1200
low confidence hdp.10,1177
low confidence hdp.11,1093
low confidence hdp.12,1000
low confidence hdp.13,1000
low confidence hdp.14,1000
low confidence hdp.15,999
low confidence hdp.16,972
low confidence hdp.17,955
low confidence hdp.18,891
low confidence hdp.19,783
low confidence hdp.20,602
low confidence hdp.21,600
low confidence hdp.22,600
low confidence hdp.23,581
low confidence hdp.24,558
low confidence hdp.25,521
low confidence hdp.26,464
low confidence hdp.27,400
low confidence hdp.28,400
low confidence hdp.29,400
low confidence hdp.30,400
low confidence hdp.31,400
low confidence hdp.32,400
low confidence hdp.33,400
low confidence hdp.34,400
low confidence hdp.35,399
low confidence hdp.36,399
low confidence hdp.37,399
low confidence hdp.38,399
low confidence hdp.39,392
low confidence hdp.40,390
low confidence hdp.41,389
low confidence hdp.42,383
low confidence hdp.43,381
low confidence hdp.44,359
low confidence hdp.45,357
low confidence hdp.46,356
low confidence hdp.47,349
low confidence hdp.48,326
low confidence hdp.49,276
low confidence hdp.50,267
low confidence hdp.51,254
low confidence hdp.52,240
low confidence hdp.53,204
low confidence hdp.54,202
low confidence hdp.55,200
low confidence hdp.56,200
low confidence hdp.57,200
low confidence hdp.58,200
low confidence hdp.59,200
low confidence hdp.60,200
low confidence hdp.61,200
low confidence hdp.62,200
low confidence hdp.63,200
low confidence hdp.64,200
low confidence hdp.65,200
low confidence hdp.66,200
low confidence hdp.67,200
low confidence hdp.68,200
low confidence hdp.69,200
low confidence hdp.70,200
low confidence hdp.71,200
low confidence hdp.72,200
low confidence hdp.73,200
low confidence hdp.74,200
low confidence hdp.75,200
low confidence hdp.76,200
low confidence hdp.77,200
low confidence hdp.78,200
low confidence hdp.79,200
low confidence hdp.80,200
low confidence hdp.81,200
low confidence hdp.82,200
low confidence hdp.83,200
low confidence hdp.84,200
low confidence hdp.85,200
low confidence hdp.86,200
low confidence hdp.87,200
low confidence hdp.88,200
low confidence hdp.89,199
low confidence hdp.90,199
low confidence hdp.91,199
low confidence hdp.92,198
low confidence hdp.93,198
low confidence hdp.94,198
low confidence hdp.95,198
low confidence hdp.96,197
low confidence hdp.97,197
low confidence hdp.98,197
low confidence hdp.99,194
low confidence hdp.100,193
low confidence hdp.101,191
low confidence hdp.102,190
low confidence hdp.103,189
low confidence hdp.104,187
low confidence hdp.105,187
low confidence hdp.106,185
low confidence hdp.107,184
low confidence hdp.108,183
low confidence hdp.109,182
low confidence hdp.110,179
low confidence hdp.111,176
low confidence hdp.112,175
low confidence hdp.113,173
low confidence hdp.114,172
low confidence hdp.115,170
low confidence hdp.116,169
low confidence hdp.117,168
low confidence hdp.118,167
low confidence hdp.119,160
low confidence hdp.120,154
low confidence hdp.121,154
low confidence hdp.122,154
low confidence hdp.123,153
low confidence hdp.124,151
low confidence hdp.125,150
low confidence hdp.126,148
low confidence hdp.127,142
low confidence hdp.128,139
low confidence hdp.129,139
low confidence hdp.130,139
low confidence hdp.131,138
low confidence hdp.132,123
low confidence hdp.133,112
low confidence hdp.134,112
low confidence hdp.135,108
low confidence hdp.136,106
low confidence hdp.137,103
low confidence hdp.138,100
low confidence hdp.139,99
low confidence hdp.140,96
low confidence hdp.141,90
low confidence hdp.142,89
low confidence hdp.143,88
low confidence hdp.144,82
low confidence hdp.145,81
low confidence hdp.146,80
low confidence hdp.147,76
low confidence hdp.148,75
low confidence hdp.149,73
low confidence hdp.150,72
low confidence hdp.151,70
low confidence hdp.152,70
low confidence hdp.153,65
low confidence hdp.154,61
low confidence hdp.155,61
low confidence hdp.156,61
low confidence hdp.157,59
low confidence hdp.158,58
low confidence hdp.159,58
low confidence hdp.160,55
low confidence hdp.161,52
low confidence hdp.162,48
low confidence hdp.163,45
low confidence hdp.164,42
low confidence hdp.165,41
low confidence hdp.166,40
low confidence hdp.167,40
low confidence hdp.168,38
low confidence hdp.169,37
low confidence hdp.170,35
low confidence hdp.171,34
low confidence hdp.172,33
low confidence hdp.173,33
low confidence hdp.174,29
low confidence hdp.175,28
low confidence hdp.176,27
low confidence hdp.177,25
low confidence hdp.178,25
low confidence hdp.179,25
low confidence hdp.180,25
low confidence hdp.181,24
low confidence hdp.182,21
low confidence hdp.183,20
low confidence hdp.184,20
low confidence hdp.185,19
low confidence hdp.186,19
low confidence hdp.187,18
low confidence hdp.188,18
low confidence hdp.189,17
low confidence hdp.190,16
low confidence hdp.191,16
low confidence hdp.192,16
low confidence hdp.193,14
low confidence hdp.194,12
low confidence hdp.195,10
low confidence hdp.196,10
low confidence hdp.197,10
low confidence hdp.198,9
low confidence hdp.199,9
low confidence hdp.200,9
low confidence hdp.201,9
low confidence hdp.202,7
low confidence hdp.203,7
low confidence hdp.204,7
low confidence hdp.205,7
low confidence hdp.206,6
low confidence hdp.207,6
low confidence hdp.208,6
low confidence hdp.209,5
low confidence hdp.210,5
low confidence hdp.211,5
low confidence hdp.212,5
low confidence hdp.213,4
low confidence hdp.214,4
low confidence hdp.215,4
low confidence hdp.216,4
low confidence hdp.217,4
low confidence hdp.218,4
low confidence hdp.219,4
low confidence hdp.220,4
