Signature,NumberOfPostSamples
low confidence hdp.1,3000
low confidence hdp.2,2946
low confidence hdp.3,2767
low confidence hdp.4,2600
low confidence hdp.5,2080
low confidence hdp.6,1400
low confidence hdp.7,1200
low confidence hdp.8,1196
low confidence hdp.9,925
low confidence hdp.10,795
low confidence hdp.11,400
low confidence hdp.12,313
low confidence hdp.13,205
low confidence hdp.14,198
low confidence hdp.15,157
low confidence hdp.16,157
low confidence hdp.17,99
low confidence hdp.18,74
low confidence hdp.19,55
low confidence hdp.20,9
low confidence hdp.21,8
low confidence hdp.22,5
