"","mean","stdev"
"averCosSim",0.988401214590531,0.00272091777637371
"falseNeg",4.2,1.48323969741913
"falsePos",4.6,2.30217288664427
"truePos",6.8,1.48323969741913
"TPR",0.618181818181818,0.134839972492648
"PPV",0.609358974358974,0.110336136946926
