"","min","lower-hinge","median","upper-hinge","max"
"averCosSim",0.984232990421613,0.988395210966551,0.988720467759239,0.988794572156648,0.991862831648604
"falseNeg",2,4,4,5,6
"falsePos",3,3,3,6,8
"truePos",5,6,7,7,9
"TPR",0.454545454545455,0.545454545454545,0.636363636363636,0.636363636363636,0.818181818181818
"PPV",0.466666666666667,0.538461538461538,0.625,0.666666666666667,0.75
