Type,Subtype,Indel_size,Repeat_MH_size,signeR.1,signeR.2,signeR.3,signeR.4,signeR.5,signeR.6,signeR.7,signeR.8,signeR.9,signeR.10,signeR.11
DEL,C,1,0,8.32924871809976e-06,0.00364335708720917,0.00367264601090236,0.00576512038889322,0.0216440221915093,0.00495159264092837,0.0338212630490682,0.112743286640617,0.364730477064512,0.00808905211726097,0.0114767638766885
DEL,C,1,1,0.000571429623214005,5.30274352517294e-05,8.09038055565782e-05,2.95146888281672e-05,0.0222848150218905,3.09527005100394e-05,0.00946324078461275,0.212437775192865,0.105815792708052,0.000280432064200907,0.00307600914110282
DEL,C,1,2,2.28381020881719e-06,2.27290278874736e-06,2.26960685467295e-06,3.28599670989149e-06,0.017411436293161,4.09465805193122e-06,0.00375999940581912,0.181726751035523,5.68051288340869e-05,0.000142430375794469,0.000428549773445069
DEL,C,1,3,0.00161869338259315,0.00229769044854784,0.00229854592892196,0.00379183414598324,0.0109518215265291,0.00168975329267529,0.00113395436420083,0.0673894414506881,0.013142080997564,0.000683720508108491,0.0010108233385046
DEL,C,1,4,0.000749874471991083,0.00335920340788169,0.00312410335550553,0.00487381629303693,0.00146932367963803,0.0036481663858388,0.0016597708013008,0.0428148557532248,0.0110318047278712,0.00171134658790185,0.00229870588505718
DEL,C,1,5+,0.00357140087547545,0.0107878715536984,0.0128016426194198,0.02116708309649,0.00116171543140218,0.0137078329855167,0.000569230281682399,0.0226153392546097,0.000133161068527673,0.00277982456623104,0.00214156348593878
DEL,T,1,0,0.0016070508597466,0.00726148838662006,0.00545594130936587,0.00996775652074383,0.0962898283405972,0.00910882671227299,0.0125984925215008,0.0352787523366711,0.110597562801404,0.0154372023437751,0.00830053748952779
DEL,T,1,1,1.82893627408078e-06,2.47138582302861e-06,2.273857415651e-06,2.19021826463171e-06,0.140012324028098,3.79300160685582e-06,2.47190808297514e-05,0.00322313154748444,0.0303114212459078,0.000118696596297062,0.0448162070098986
DEL,T,1,2,0.000176537080415459,0.00771911618523682,0.00538520004859238,0.00854397345019976,0.099608696564026,0.00800045620592566,0.0091191124668316,0.0165751132942163,0.0866531848093753,0.00987962107613277,0.000217228690202714
DEL,T,1,3,0.00189097412777124,0.0178229989759158,0.015903661426174,0.0293981248718592,0.0802773230842344,0.0159394258654331,0.0165315646703269,0.0139399278818884,0.115506864575733,0.0185601758909648,0.00249437559442827
DEL,T,1,4,0.00275248962831084,0.0444970840608898,0.0318302334562515,0.059367476066792,0.0421146309193066,0.053768843960088,0.011684874157254,0.0120075506319552,0.0932854967548017,0.0145042416847384,0.000931155541187298
DEL,T,1,5+,1.71690625878227e-05,0.728163552014004,0.8018329526662,0.761077129251649,0.00912928294199121,0.809976608778697,2.08702107485656e-05,0.000488345225821947,9.69626939138064e-05,0.0647047657098539,0.000797225287271953
INS,C,1,0,1.82051271338395e-06,2.3226899782513e-06,2.19650965608764e-06,2.6790275252651e-06,0.0003896930604617,3.69834551684044e-06,0.00206286339703732,0.0020410476012324,6.48027796869718e-05,0.421868628211084,0.000522270058345115
INS,C,1,1,9.26957494563672e-06,0.000167699919716989,0.000142819112240044,0.000295743851416988,0.00628932300463816,0.00028627614685545,0.00155997230704299,0.00406392053180458,4.46173706459926e-05,0.010060060522203,7.60762343789611e-05
INS,C,1,2,3.31953936061266e-06,1.01073315900127e-05,2.6896884757176e-05,3.53712551073889e-05,0.00567691704116616,1.7345088076699e-05,0.000353166870070619,0.00379339188615616,9.75271042097607e-05,0.000582818672441935,9.39963034217e-05
INS,C,1,3,0.000752540563691021,0.000430188787124182,0.00041875274548936,0.000664816288124349,0.00119082776811201,0.000543344670850111,1.75067611353089e-05,0.00750351564781148,4.36584681527525e-05,0.00177673823767978,8.68977125739396e-05
INS,C,1,4,0.00185974030583071,0.00240744488352228,0.00261652931471846,0.00399542047954429,0.00021845210742686,0.00245430015298307,0.000226690138961472,0.00750643595612772,9.03439903347479e-05,0.00125254363204541,0.000142518470950433
INS,C,1,5+,0.0243611811228665,0.00711128929659502,0.00997482206608067,0.0115278496494659,1.03772810129163e-05,0.0100957557296536,1.40842999601683e-05,0.006927720639028,4.16045889608089e-05,0.00265571531649497,0.000217239712656909
INS,T,1,0,0.00211180131928537,0.00141972671962805,0.00136217791214246,0.00173616793059306,0.0104145659174141,0.00124010214591709,0.00529026684302054,0.0147747325905031,0.011481031898046,0.0304212452175158,0.00544325668017565
INS,T,1,1,3.73307226843648e-06,6.30490571350752e-06,3.41937503525015e-06,6.81775359422679e-06,0.0192818041428336,6.680860409728e-06,0.00131420558293138,0.0535163665178773,0.00728040621625917,0.00262137418437347,0.000459202299679458
INS,T,1,2,5.32597349635739e-05,0.000626038211720354,0.000616097811333239,0.000657360754208928,0.0281603715732211,0.000837300233581875,1.76648654074254e-05,0.0475798466812626,6.10066770308973e-05,0.00141705724135596,8.74961359275534e-05
INS,T,1,3,0.00393929026647736,0.00127982343449576,0.00157182149806081,0.00152352991470953,0.019063841574475,0.000826501432654143,4.23507079260684e-05,0.0281505362776344,0.000125302765713726,0.000713563486931085,0.000176096037774555
INS,T,1,4,0.0173622719019512,0.00384353418525826,0.00348272610120294,0.00447563398010068,0.0121622906606529,0.00358140064886728,0.000391116581470792,0.00701724987603942,9.83387235901437e-05,0.00569125227037449,0.00101204749295445
INS,T,1,5+,0.896957608534894,0.109144887136596,0.0475340431415878,0.000354706396200313,1.52649105721064e-05,0.00188736486456155,6.42645339897136e-05,0.0199472456290204,0.000116382635678679,0.26362330216341,0.00655960546863476
DEL,repeats,2,0,0.000346760652244539,0.000342581445091778,0.000178141681019608,0.000216831984934019,0.0272010686937834,0.000134781942155791,0.00360546047121249,0.00630841800067247,0.0151703714085093,0.0010196038219292,0.0664837282987989
DEL,repeats,2,1,0.000782405074685604,0.00276024200476326,0.00303364812161526,0.00598511891879281,0.0210884119419313,0.00324785467343406,0.00365445695954318,0.0101830756005341,0.00326595837632135,0.00614461542418629,0.219796476273438
DEL,repeats,2,2,0.000276549003985088,0.00129069777341318,0.00181957685581319,0.0025370411099496,0.00367306968195549,0.00186740515228842,0.00116003460496276,0.0117733289254127,0.000185498027617002,0.0020072086447883,0.0502424802961402
DEL,repeats,2,3,0.000411147506862905,0.000564914347282317,0.000546257832762716,0.000992418141110216,1.45998574989232e-05,0.000956772624802097,0.000171769973521713,0.00672493578176152,4.27440304393874e-05,0.000465771551613893,0.010595615909852
DEL,repeats,2,4,1.02440325822894e-05,0.000603565666495395,0.000899849951779413,0.00112445695255723,0.000559595877162454,0.00118979498544036,0.000126040892674519,0.00313755404489005,7.6133637358988e-05,4.13387367114287e-05,0.00267210406367735
DEL,repeats,2,5+,1.56274600290564e-06,2.0965474628511e-06,2.21339649501794e-06,2.33143418508748e-06,0.0185432673567989,4.5422633011639e-06,1.34958395784035e-05,7.74794017918992e-05,3.84774028594283e-05,4.75510103542856e-05,0.00172483857060861
DEL,repeats,3,0,0.000112485418721638,1.28059406218859e-05,8.00908842454995e-06,1.65200426345708e-05,0.0173129352892273,1.34480337361981e-05,0.00487677414351579,0.000859872022322468,0.00387393445672893,0.000969869521447445,0.00447060739726327
DEL,repeats,3,1,0.00470921411916244,0.00459094163470474,0.00412387148641994,0.00666714638431373,0.00443706338910377,0.00461569171557983,0.00378600533143959,0.000102294665784772,0.00230781728670782,0.00449571797276179,0.0858256802606583
DEL,repeats,3,2,0.00064797909378954,0.00202416640877564,0.00206335215118021,0.00256762538338353,0.000691534620971074,0.00244954874607655,0.000386079062935996,5.67244191798035e-05,0.00190121728702511,0.0013166402105033,0.0186455138515677
DEL,repeats,3,3,0.000487747386571409,0.000104601111171564,0.000430417968207676,0.00067278491888445,0.000479073339737914,0.000422253121967956,9.20783610834421e-05,3.14457685999617e-05,0.00043944841161261,0.000416971770096384,0.00335893336757124
