Signature,NumberOfPostSamples
low confidence hdp.1,3035
low confidence hdp.2,2600
low confidence hdp.3,1952
low confidence hdp.4,1597
low confidence hdp.5,1500
low confidence hdp.6,1396
low confidence hdp.7,1200
low confidence hdp.8,980
low confidence hdp.9,889
low confidence hdp.10,599
low confidence hdp.11,400
low confidence hdp.12,199
low confidence hdp.13,58
low confidence hdp.14,34
low confidence hdp.15,6
low confidence hdp.16,4
low confidence hdp.17,2
low confidence hdp.18,2
low confidence hdp.19,2
low confidence hdp.20,2
low confidence hdp.21,2
low confidence hdp.22,2
low confidence hdp.23,2
low confidence hdp.24,2
low confidence hdp.25,2
