Signature,NumberOfPostSamples
low confidence hdp.1,2487
low confidence hdp.2,2399
low confidence hdp.3,1854
low confidence hdp.4,1801
low confidence hdp.5,1552
low confidence hdp.6,1386
low confidence hdp.7,1086
low confidence hdp.8,800
low confidence hdp.9,775
low confidence hdp.10,600
low confidence hdp.11,600
low confidence hdp.12,400
low confidence hdp.13,400
low confidence hdp.14,390
low confidence hdp.15,201
low confidence hdp.16,38
low confidence hdp.17,6
low confidence hdp.18,2
low confidence hdp.19,2
low confidence hdp.20,2
low confidence hdp.21,2
low confidence hdp.22,2
