Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID2 0.998),hdp.2 (ID11 0.985),hdp.3 (ID5 1),hdp.4 (ID6 1),hdp.5 (ID14 0.999),hdp.6 (ID1 1),hdp.7 (ID8 1),hdp.8 (ID13 1),hdp.9 (ID9 1),hdp.10 (ID3 1),hdp.11 (ID4 0.999)
DEL,C,1,0,0.00440097360575561,0.012387631476189,0.0201881192685417,0.0284746131631717,0.0141562914359077,0.000406818268175282,0.0404832072808805,0.0635254384789195,0.333374588046322,0.126252750241499,0.00503475609897888
DEL,C,1,1,6.26360677739727e-05,0.0100325107928596,0.0282369064602552,0.00660624252864522,0.001899322705021,0.000826067159352445,0.0226993192005786,0.0193367991490405,0.098138217444517,0.207313632133893,0.00288509511638721
DEL,C,1,2,4.47857698029914e-07,0.00360370381255968,0.025754667868351,0.00791342639115491,0.000431590366228007,2.64704010834768e-06,0.00405117327139537,0.00576467529603447,0.00289546410802304,0.174956462410395,0.00173240061691778
DEL,C,1,3,0.0023820410648502,0.00397245788839696,0.0136101237724297,0.000668619455049116,0.000873219427336484,0.00176188882735245,0.00590296332715557,0.00506327775290426,0.0124679820398303,0.0641702383613831,0.00142631303091103
DEL,C,1,4,0.00356765943301665,0.00126205118812256,0.00248375151471783,0.00279406411712322,0.0019331634803585,0.000899575683136892,0.00101324649059162,0.00400499672525093,0.0112614242541116,0.0427756545430193,0.00223033122426106
DEL,C,1,5+,0.0137119654571448,0.00125964208048425,0.00257460505121582,0.00138609119965684,0.00298788806549718,0.00352045268969345,0.000721191725726655,0.000592342220308387,0.000890455486881639,0.0217846734142435,0.00261882590233613
DEL,T,1,0,0.00742159658586017,0.0187079827250004,0.102198125177728,0.00404678980574148,0.0172058084296987,0.00182937868451935,0.0358540653400086,0.0527757419516744,0.101012891092197,0.037172509810724,0.00781526698390646
DEL,T,1,1,1.34166551279194e-07,0.0189076174446283,0.108737775645128,0.000395754894333649,0.00116488067883926,1.68114710482318e-06,0.00945723410759695,0.489425816239523,0.0449638235781379,0.0133545255452541,0.00223086232727561
DEL,T,1,2,0.00692857096590727,0.013956924191784,0.115487893848212,0.0113715310571729,0.010213959547719,0.00101207055488831,0.00960120771343358,0.0230388578207567,0.086003058781517,0.0189212023607869,0.00237582474197652
DEL,T,1,3,0.0181937916842546,0.0266413347851304,0.0886233382391495,0.0217096493863919,0.0199679769717404,0.00278325301940786,0.00919618841261883,0.0643971087150151,0.115881498938261,0.0202030486178735,0.00117072329369305
DEL,T,1,4,0.0445206249046421,0.0131338812470083,0.051640741908451,0.0182147009928953,0.0139455033479619,0.0041601618261271,0.00129263516258583,0.0219949067908505,0.0931748030575593,0.0162497857884043,0.00211844073781749
DEL,T,1,5+,0.773535804605753,0.0107618279785639,0.0311971504935955,0.00612802128658041,0.0423778562629281,0.000872767319491106,0.00783699314806452,0.00517017050558513,0.00169633400116028,0.00803796011103288,0.00454711740680944
