"ex.sig","gt.sig","sim"
"signeR.11","SBS1",0.999704481921599
"signeR.14","SBS2",0.999069969638536
"signeR.8","SBS3",0.993740608269463
"signeR.2","SBS4",0.999404363770682
"signeR.1","SBS5",0.990281440044111
"signeR.4","SBS7a",0.996703895211691
"signeR.6","SBS7b",0.957346375659361
"signeR.18","SBS7c",0.999033043101395
"signeR.23","SBS7d",0.980156922858202
"signeR.22","SBS12",0.959222594015168
"signeR.25","SBS13",0.999546112532659
"signeR.21","SBS17a",0.999768101892254
"signeR.7","SBS17b",0.999178950849368
"signeR.15","SBS18",0.996891918342776
"signeR.30","SBS22",0.986409089454738
"signeR.28","SBS28",0.997534690472706
"signeR.3","SBS40",0.992698751982946
"signeR.10","SBS44",0.964982546845445
