Type,Subtype,Indel_size,Repeat_MH_size,ID83A,ID83B,ID83C,ID83D,ID83E,ID83F,ID83G,ID83H,ID83I,ID83J
INS,repeats,5+,1,0.00175858,3.757e-05,0.00191261,0.01089923,0.00023306,0.00576955,0.01242975,0.00125982,0.00218726,0.02480073
INS,repeats,5+,2,0.00023556,3.34e-06,0.000428,1.737e-05,7.11e-06,0.00133451,0.00025398,1.174e-05,0.00011673,0.0005508
INS,repeats,5+,3,0.0002235,9.282e-05,0.00041502,5.936e-05,8.536e-05,7.301e-05,3.938e-05,0.00014823,0.00013209,0.0001089
INS,repeats,5+,4,0.00017707,3.89e-06,0.00036447,4.729e-05,1.241e-05,1.675e-05,5.175e-05,0.00014623,5.557e-05,3.229e-05
INS,repeats,5+,5+,0.00019525,5.539e-05,0.00084146,0.00038594,0.00010992,4.69e-06,0.00034595,1.92e-06,9.707e-05,8.8e-07
DEL,MH,2,1,6.296e-05,2.207e-05,0.02103307,0.00019684,0.00996493,0.00011558,0.02391121,0.00031105,0.1884043,0.004222
DEL,MH,3,1,2.1e-07,0,0.00978861,0.01150221,0.00190364,0.00091727,0.01330399,0.00098139,0.00571794,0.00140947
DEL,MH,3,2,0.00136749,0.00249868,0.01095585,0.00341689,0.00072677,0.00401508,0.0052093,0.00029294,0.04020644,0.00389044
DEL,MH,4,1,6.447e-05,2.558e-05,0.00972147,0.00517615,0.0003447,0.00260848,0.00554101,0.00199788,0.01105011,0.00012447
DEL,MH,4,2,4.698e-05,0.00047466,0.00556017,0.00075254,0.00042162,0.00946163,0.00340534,0.00158563,0.02864041,0.00102812
DEL,MH,4,3,5.19e-06,0.00053334,0.00186925,0.00019288,4.608e-05,0.00488356,0.00236911,0.00132892,0.04414157,0.00208602
DEL,MH,5+,1,0,0.00049861,8.045e-05,0.33388048,0.00044069,0.07044689,0.0057864,0,0.00021685,0.00153261
DEL,MH,5+,2,2e-08,1e-08,0.00099789,0.11259976,0.00126015,0.26899983,0.00346638,8.6e-06,1.83e-06,0.00134381
DEL,MH,5+,3,1e-08,0,0.00317824,0.02077355,0.00076644,0.24137664,0.0009792,9.9e-06,0.00021618,2.477e-05
DEL,MH,5+,4,5.3e-07,0.00038594,0.00050548,0.00016367,0.00093467,0.13652372,0.00018976,1.317e-05,0.00301669,4.646e-05
DEL,MH,5+,5+,0.00030664,0.00233005,0.00056404,0.0012551,0,0.11007776,0.00403746,1.571e-05,0.00073674,0.00049196
