Data_set,Noise_level,Approach,Run,cpu_time
indel_set1,Moderate,mSigHdp,seed.1076753,225311.29800000004
indel_set1,Moderate,mSigHdp,seed.145879,267265.518
indel_set1,Moderate,mSigHdp,seed.200437,266432.397
indel_set1,Moderate,mSigHdp,seed.310111,228049.40899999999
indel_set1,Moderate,mSigHdp,seed.528401,261922.354
indel_set1,Noiseless,mSigHdp,seed.1076753,216814.621
indel_set1,Noiseless,mSigHdp,seed.145879,275676.357
indel_set1,Noiseless,mSigHdp,seed.200437,263361.888
indel_set1,Noiseless,mSigHdp,seed.310111,219471.93500000003
indel_set1,Noiseless,mSigHdp,seed.528401,259044.33299999998
indel_set1,Realistic,mSigHdp,seed.1076753,320264.26200000005
indel_set1,Realistic,mSigHdp,seed.145879,323196.139
indel_set1,Realistic,mSigHdp,seed.200437,322170.4979999999
indel_set1,Realistic,mSigHdp,seed.310111,329230.679
indel_set1,Realistic,mSigHdp,seed.528401,336591.9840000002
indel_set1,Realistic,NR_hdp_gb_1,seed.1076753,312724.327
indel_set1,Realistic,NR_hdp_gb_1,seed.145879,320864.154
indel_set1,Realistic,NR_hdp_gb_1,seed.200437,319047.996
indel_set1,Realistic,NR_hdp_gb_1,seed.310111,314093.34099999996
indel_set1,Realistic,NR_hdp_gb_1,seed.528401,318746.68899999995
indel_set1,Realistic,NR_hdp_gb_50,seed.1076753,890706.8
indel_set1,Realistic,NR_hdp_gb_50,seed.145879,890404.1050000001
indel_set1,Realistic,NR_hdp_gb_50,seed.200437,892686.251
indel_set1,Realistic,NR_hdp_gb_50,seed.310111,884789.879
indel_set1,Realistic,NR_hdp_gb_50,seed.528401,890890.352
indel_set1,Moderate,SignatureAnalyzer,seed.1076753,373015.32000000053
indel_set1,Moderate,SignatureAnalyzer,seed.145879,439081.64399999985
indel_set1,Moderate,SignatureAnalyzer,seed.200437,465324.64199999976
indel_set1,Moderate,SignatureAnalyzer,seed.310111,425990.6840000001
indel_set1,Moderate,SignatureAnalyzer,seed.528401,349183.95400000084
indel_set1,Noiseless,SignatureAnalyzer,seed.1076753,343303.32199999987
indel_set1,Noiseless,SignatureAnalyzer,seed.145879,412906.065
indel_set1,Noiseless,SignatureAnalyzer,seed.200437,366838.58800000005
indel_set1,Noiseless,SignatureAnalyzer,seed.310111,385014.15799999994
indel_set1,Noiseless,SignatureAnalyzer,seed.528401,381421.9089999999
indel_set1,Realistic,SignatureAnalyzer,seed.1076753,674674.733
indel_set1,Realistic,SignatureAnalyzer,seed.145879,784410.1679999998
indel_set1,Realistic,SignatureAnalyzer,seed.200437,645603.253
indel_set1,Realistic,SignatureAnalyzer,seed.310111,714643.8589999999
indel_set1,Realistic,SignatureAnalyzer,seed.528401,697518.9850000002
indel_set1,Moderate,signeR,seed.1076753,1047273.8940000001
indel_set1,Moderate,signeR,seed.145879,1479041.9390000002
indel_set1,Moderate,signeR,seed.200437,982505.8129999998
indel_set1,Moderate,signeR,seed.310111,1109100.8479999998
indel_set1,Moderate,signeR,seed.528401,1039210.345
indel_set1,Noiseless,signeR,seed.1076753,1049009.8990000002
indel_set1,Noiseless,signeR,seed.145879,1523194.72
indel_set1,Noiseless,signeR,seed.200437,1188790.2489999998
indel_set1,Noiseless,signeR,seed.310111,1083419.238
indel_set1,Noiseless,signeR,seed.528401,1088708.3969999999
indel_set1,Realistic,signeR,seed.1076753,1872213.106
indel_set1,Realistic,signeR,seed.145879,1347688.3260000001
indel_set1,Realistic,signeR,seed.200437,1108226.596
indel_set1,Realistic,signeR,seed.310111,1665230.6819999998
indel_set1,Realistic,signeR,seed.528401,1792770.1699999995
indel_set1,Moderate,SigProfilerExtractor,seed.1076753,1428303.79
indel_set1,Moderate,SigProfilerExtractor,seed.145879,1471483.13
indel_set1,Moderate,SigProfilerExtractor,seed.200437,1456763.6
indel_set1,Moderate,SigProfilerExtractor,seed.310111,1465046.82
indel_set1,Moderate,SigProfilerExtractor,seed.528401,1457259.5599999998
indel_set1,Noiseless,SigProfilerExtractor,seed.1076753,2262157.8099999996
indel_set1,Noiseless,SigProfilerExtractor,seed.145879,2291542.66
indel_set1,Noiseless,SigProfilerExtractor,seed.200437,2272226.03
indel_set1,Noiseless,SigProfilerExtractor,seed.310111,2274198.46
indel_set1,Noiseless,SigProfilerExtractor,seed.528401,2312377.6
indel_set1,Realistic,SigProfilerExtractor,seed.1076753,107019.44999999998
indel_set1,Realistic,SigProfilerExtractor,seed.145879,90595.73000000001
indel_set1,Realistic,SigProfilerExtractor,seed.200437,108789.62
indel_set1,Realistic,SigProfilerExtractor,seed.310111,106773.52000000002
indel_set1,Realistic,SigProfilerExtractor,seed.528401,108625.06
