Data_set,Noise_level,Approach,Run,PPV,TPR,aver_Sim_TP_only,Composite,N_Sigs,FN,FP,FP.sigs,FN.sigs
indel_set1,Moderate,SignatureAnalyzer,seed.528401,0.8333333333333334,0.9090909090909091,0.9934786506274014,2.7359028930516436,12,1,2,,
indel_set1,Noiseless,SignatureAnalyzer,seed.1076753,0.9,0.8181818181818182,0.9949650055056267,2.713146823687445,10,2,1,,
indel_set1,Noiseless,SignatureAnalyzer,seed.145879,0.9,0.8181818181818182,0.994935741394992,2.7131175595768102,10,2,1,,
indel_set1,Noiseless,SignatureAnalyzer,seed.200437,0.9090909090909091,0.9090909090909091,0.9963303158246923,2.8145121340065105,11,1,1,,
indel_set1,Noiseless,SignatureAnalyzer,seed.310111,0.9090909090909091,0.9090909090909091,0.9963130579117921,2.8144948760936104,11,1,1,,
indel_set1,Noiseless,SignatureAnalyzer,seed.528401,0.9,0.8181818181818182,0.9949279379547784,2.7131097561365967,10,2,1,,
indel_set1,Realistic,SignatureAnalyzer,seed.1076753,0.5333333333333333,0.7272727272727273,0.9894278700849033,2.250033930690964,15,3,7,,
indel_set1,Realistic,SignatureAnalyzer,seed.145879,0.6428571428571429,0.8181818181818182,0.9824453463261499,2.443484307365111,14,2,5,,
indel_set1,Realistic,SignatureAnalyzer,seed.200437,0.5333333333333333,0.7272727272727273,0.9893297849541322,2.2499358455601928,15,3,7,,
indel_set1,Realistic,SignatureAnalyzer,seed.310111,0.5333333333333333,0.7272727272727273,0.9883044507378942,2.248910511343955,15,3,7,,
indel_set1,Realistic,SignatureAnalyzer,seed.528401,0.5333333333333333,0.7272727272727273,0.9893495953935177,2.2499556559995786,15,3,7,,
indel_set1,Moderate,signeR,seed.1076753,0.625,0.45454545454545453,0.9855187688667234,2.065064223412178,8,6,3,,
indel_set1,Moderate,signeR,seed.145879,0.6363636363636364,0.6363636363636364,0.990156058129198,2.2628833308564706,11,4,4,,
indel_set1,Moderate,signeR,seed.200437,0.6,0.5454545454545454,0.9895072993744076,2.134961844828953,10,5,4,,
indel_set1,Moderate,signeR,seed.310111,0.6363636363636364,0.6363636363636364,0.9910420708227131,2.2637693435499857,11,4,4,,
indel_set1,Moderate,signeR,seed.528401,0.8181818181818182,0.8181818181818182,0.9951927218277798,2.6315563581914163,11,2,2,,
indel_set1,Noiseless,signeR,seed.1076753,0.6,0.5454545454545454,0.9911966265014375,2.136651171955983,10,5,4,,
indel_set1,Noiseless,signeR,seed.145879,0.75,0.8181818181818182,0.9967012632508139,2.564883081432632,12,2,3,,
indel_set1,Noiseless,signeR,seed.200437,0.9,0.8181818181818182,0.9968530487059105,2.715034866887729,10,2,1,,
indel_set1,Noiseless,signeR,seed.310111,0.8,0.7272727272727273,0.9942764727298579,2.5215492000025854,10,3,2,,
indel_set1,Noiseless,signeR,seed.528401,0.8,0.7272727272727273,0.9943772801054305,2.521650007378158,10,3,2,,
indel_set1,Realistic,signeR,seed.1076753,0.4666666666666667,0.6363636363636364,0.9887204677592392,2.091750770789542,15,4,8,,
indel_set1,Realistic,signeR,seed.145879,0.6666666666666666,0.5454545454545454,0.9887945721566483,2.20091578427786,9,5,3,,
indel_set1,Realistic,signeR,seed.200437,0.625,0.45454545454545453,0.984232990421613,2.0637784449670677,8,6,3,,
indel_set1,Realistic,signeR,seed.310111,0.75,0.8181818181818182,0.9918628316486039,2.5600446498304223,12,2,3,,
indel_set1,Realistic,signeR,seed.528401,0.5384615384615384,0.6363636363636364,0.9883952109665513,2.163220385791726,13,4,6,,
indel_set1,Moderate,SigProfilerExtractor,seed.1076753,1,0.8181818181818182,0.9938100763143458,2.811991894496164,9,2,0,,
indel_set1,Moderate,SigProfilerExtractor,seed.145879,1,0.8181818181818182,0.990282321456088,2.8084641396379064,9,2,0,,
indel_set1,Moderate,SigProfilerExtractor,seed.200437,1,0.8181818181818182,0.9901830229133743,2.8083648410951927,9,2,0,,
indel_set1,Moderate,SigProfilerExtractor,seed.310111,1,0.8181818181818182,0.9880272764062132,2.8062090945880316,9,2,0,,
indel_set1,Moderate,SigProfilerExtractor,seed.528401,1,0.8181818181818182,0.9905600349158754,2.8087418530976938,9,2,0,,
indel_set1,Noiseless,SigProfilerExtractor,seed.1076753,1,0.8181818181818182,0.9944855673659703,2.8126673855477886,9,2,0,,
indel_set1,Noiseless,SigProfilerExtractor,seed.145879,1,0.8181818181818182,0.9943944235028005,2.812576241684619,9,2,0,,
indel_set1,Noiseless,SigProfilerExtractor,seed.200437,1,0.8181818181818182,0.993155790549429,2.8113376087312476,9,2,0,,
indel_set1,Noiseless,SigProfilerExtractor,seed.310111,1,0.8181818181818182,0.9917357342629287,2.8099175524447473,9,2,0,,
indel_set1,Noiseless,SigProfilerExtractor,seed.528401,1,0.8181818181818182,0.9926007602340615,2.8107825784158798,9,2,0,,
indel_set1,Realistic,SigProfilerExtractor,seed.1076753,0.9,0.8181818181818182,0.989034993575381,2.707216811757199,10,2,1,,
indel_set1,Realistic,SigProfilerExtractor,seed.145879,1,0.8181818181818182,0.989380949626772,2.8075627678085904,9,2,0,,
indel_set1,Realistic,SigProfilerExtractor,seed.200437,0.9,0.8181818181818182,0.989693755709538,2.7078755738913562,10,2,1,,
indel_set1,Realistic,SigProfilerExtractor,seed.310111,0.9,0.8181818181818182,0.9870003395228599,2.7051821577046784,10,2,1,,
indel_set1,Realistic,SigProfilerExtractor,seed.528401,1,0.8181818181818182,0.9869764735186531,2.8051582917004714,9,2,0,,
indel_set1,Moderate,SigProfilerExtractor_old,seed.1076753,1,0.8181818181818182,0.9938057474662995,2.811987565648118,9,2,0,,
indel_set1,Moderate,SigProfilerExtractor_old,seed.145879,1,0.8181818181818182,0.9902828033697934,2.808464621551612,9,2,0,,
indel_set1,Moderate,SigProfilerExtractor_old,seed.200437,1,0.8181818181818182,0.9901825708253915,2.8083643890072096,9,2,0,,
indel_set1,Moderate,SigProfilerExtractor_old,seed.310111,1,0.8181818181818182,0.9880273064356839,2.806209124617502,9,2,0,,
indel_set1,Moderate,SigProfilerExtractor_old,seed.528401,1,0.8181818181818182,0.9905588320099825,2.808740650191801,9,2,0,,
indel_set1,Noiseless,SigProfilerExtractor_old,seed.1076753,1,0.8181818181818182,0.9944856847142594,2.812667502896078,9,2,0,,
indel_set1,Noiseless,SigProfilerExtractor_old,seed.145879,1,0.8181818181818182,0.9943945574464923,2.8125763756283106,9,2,0,,
indel_set1,Noiseless,SigProfilerExtractor_old,seed.200437,1,0.8181818181818182,0.9931531185918506,2.811334936773669,9,2,0,,
indel_set1,Noiseless,SigProfilerExtractor_old,seed.310111,1,0.8181818181818182,0.9917421755858595,2.809923993767678,9,2,0,,
indel_set1,Noiseless,SigProfilerExtractor_old,seed.528401,1,0.8181818181818182,0.9926006277633597,2.8107824459451782,9,2,0,,
indel_set1,Realistic,SigProfilerExtractor_old,seed.1076753,0.9,0.8181818181818182,0.989034993575381,2.707216811757199,10,2,1,,
indel_set1,Realistic,SigProfilerExtractor_old,seed.145879,1,0.8181818181818182,0.989380949626772,2.8075627678085904,9,2,0,,
indel_set1,Realistic,SigProfilerExtractor_old,seed.200437,0.9,0.8181818181818182,0.989693755709538,2.7078755738913562,10,2,1,,
indel_set1,Realistic,SigProfilerExtractor_old,seed.310111,0.9,0.8181818181818182,0.9870003395228599,2.7051821577046784,10,2,1,,
indel_set1,Realistic,SigProfilerExtractor_old,seed.528401,1,0.8181818181818182,0.9869764735186531,2.8051582917004714,9,2,0,,
