Signature,NumberOfPostSamples
low confidence hdp.1,3474
low confidence hdp.2,3000
low confidence hdp.3,2200
low confidence hdp.4,2194
low confidence hdp.5,1723
low confidence hdp.6,1201
low confidence hdp.7,1196
low confidence hdp.8,1169
low confidence hdp.9,914
low confidence hdp.10,800
low confidence hdp.11,600
low confidence hdp.12,200
low confidence hdp.13,200
low confidence hdp.14,200
low confidence hdp.15,200
low confidence hdp.16,200
low confidence hdp.17,200
low confidence hdp.18,123
low confidence hdp.19,117
low confidence hdp.20,34
low confidence hdp.21,2
low confidence hdp.22,2
low confidence hdp.23,2
low confidence hdp.24,2
low confidence hdp.25,2
low confidence hdp.26,2
low confidence hdp.27,2
low confidence hdp.28,2
