Signature,NumberOfPostSamples
low confidence hdp.1,3200
low confidence hdp.2,2630
low confidence hdp.3,1498
low confidence hdp.4,1000
low confidence hdp.5,998
low confidence hdp.6,959
low confidence hdp.7,400
low confidence hdp.8,400
low confidence hdp.9,398
low confidence hdp.10,398
low confidence hdp.11,200
low confidence hdp.12,200
low confidence hdp.13,199
low confidence hdp.14,192
low confidence hdp.15,119
low confidence hdp.16,106
low confidence hdp.17,81
low confidence hdp.18,81
low confidence hdp.19,12
low confidence hdp.20,11
low confidence hdp.21,8
low confidence hdp.22,3
