"ex.sig","ref.sig","sim"
"hdp.1","SBS40",0.999013800910122
"hdp.2","SBS5",0.999703356625346
"hdp.3","SBS7a",0.999993256946302
"hdp.4","SBS18",0.998221823339276
"hdp.5","SBS41",0.99903065139842
"hdp.6","SBS2",0.999900259408125
"hdp.7","SBS28",0.994197459413899
"hdp.8","SBS17b",0.999487871152851
"hdp.9","SBS13",0.999593660414985
"hdp.10","SBS7b",0.999893409881573
"hdp.11","SBS17a",0.998453283521333
"hdp.12","SBS7d",0.999681407762986
"hdp.13","SBS3",0.999311034138442
"hdp.14","SBS44",0.998736466354523
"hdp.15","SBS22",0.998272488171503
"hdp.16","SBS12",0.99929467781807
"hdp.17","SBS4",0.999966293297265
"hdp.18","SBS7c",0.999980484152985
"hdp.19","SBS1",0.999911225380754
"hdp.20","SBS16",0.999209509817725
"hdp.21","SBS29",0.996938143626319
