Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.968),ID83D (ID8 0.998),ID83E (ID3 0.989),ID83F (ID6 0.997),ID83G (ID9 0.998),ID83H (ID4 0.999),ID83I (ID11 0.99),ID83J (ID14 1)
DEL,C,1,0,0.00362732,1e-08,0.00524881,0.03077509,0.08888569,0.02728723,0.35112671,0.00933063,0.00984419,0.00720313
DEL,C,1,1,1.542e-05,0.00019924,0.0122815,0.01948451,0.22085259,0.00101604,0.10788183,0.00150561,0.00088187,0.00020812
DEL,C,1,2,0,0,0.01496331,0.00023472,0.19456279,0.0052582,0.00088128,9.941e-05,0.01345833,2e-08
DEL,C,1,3,0.0024351,0.0019057,0.01044904,0.0041718,0.07313089,0.00024134,0.01205784,0.00060775,0.00115974,0.00025156
DEL,C,1,4,0.00381209,0.00041855,0.00032924,0.00025528,0.0461931,0.00188138,0.01420857,0.00074482,0.00238757,0.00182684
DEL,C,1,5+,0.01451235,0.00342372,0.00123872,0.00030706,0.02522046,0.00106487,0.00082499,0.00207017,0.00364045,0.0020375
DEL,T,1,0,0.00777423,0.00119065,0.11192329,0.03401381,0.03262082,0.00158801,0.10664954,0.00380713,0.00300521,0.01715092
DEL,T,1,1,0,0,0.17071476,0.01936915,0.00421284,5.46e-06,0.02857914,0.00623528,1.55e-06,1.898e-05
DEL,T,1,2,0.00700486,0.00073721,0.1261126,0.00586253,0.01395392,0.01225899,0.0836189,0.00020601,0.00241689,0.01052657
DEL,T,1,3,0.02016612,0.00212854,0.09903486,0.00704818,0.01295411,0.02334784,0.11142511,0.00016049,0.00229572,0.01651479
DEL,T,1,4,0.04738717,0.00419824,0.05288798,0.00055298,0.01005286,0.01890611,0.09122999,0.00033244,0.0034447,0.01257352
DEL,T,1,5+,0.82049342,7.067e-05,0.01022608,0.00263247,0.00551249,0.00935789,0.01069725,0.00404498,0.03059473,0.03382543
INS,C,1,0,0,0,3.5e-06,9.16e-06,9.7e-07,1.034e-05,7.98e-06,4.77e-06,3.46e-06,0.46310306
INS,C,1,1,0.00013999,0,4.777e-05,0.00025835,0.00595508,0.0013966,0,2.057e-05,0.12876845,0.01386728
INS,C,1,2,6.87e-06,0,0.0021894,0.0001138,0.00462933,0,1.55e-06,2.8e-07,0.07840208,0.00118562
INS,C,1,3,0.0004549,0.00041328,0,0,0.00679531,0.00017105,0,0.00017658,0.02952229,0.0020036
INS,C,1,4,0.00289632,0.00166012,0,0,0.00763277,0.00048292,0,1.435e-05,0.0096145,0.00154727
INS,C,1,5+,0.00893819,0.02479275,3.36e-05,2.77e-06,0.007617,0.00055505,0.00055665,0.00035997,0.00511742,0.00240975
INS,T,1,0,0.00117212,0.00205626,0.01050811,0.00441886,0.01537571,0.00589509,0.01383016,0.00107979,0.01151221,0.03315492
INS,T,1,1,0,0,0.0073614,0.00196832,0.05434098,3.226e-05,0.00759878,0.0002278,0.26417405,0.00448256
INS,T,1,2,0.0006093,6.6e-07,0.02702888,8.622e-05,0.05118743,3.747e-05,0.00052052,0,0.13981031,0.0025738
INS,T,1,3,0.00108349,0.00416556,0.01819888,0.00032549,0.03117739,0.00041245,0.00068193,2.557e-05,0.09235947,0.0017225
INS,T,1,4,0.00350043,0.01642233,0.01286297,0.00045662,0.00800832,0.00132013,0.00108186,0.00025237,0.04232606,0.004977
INS,T,1,5+,0.00268932,0.90450284,0.00023115,0.0070968,0.01333717,0.02406048,0.01872727,0.005242,0.055881,0.24078965
DEL,repeats,2,0,6.755e-05,7.398e-05,0.03013431,0.00924005,0.00624962,0.00097151,0.01238529,0.07344029,0.00038213,9.305e-05
DEL,repeats,2,1,0.00326543,4.836e-05,0.01707477,0.00949799,0.01070322,0.00077627,0.00053404,0.23613786,0.00200207,0.00508056
DEL,repeats,2,2,0.0017147,5.29e-06,0.00252549,7.943e-05,0.0133057,0.00193973,0.00021755,0.05441342,0.001561,0.00243577
DEL,repeats,2,3,0.00070444,1.535e-05,0,0,0.00665519,0.00019163,0,0.01126398,0.00065586,0.00059697
DEL,repeats,2,4,0.00072301,0,0.00045979,0,0.00381201,4.391e-05,0.00014012,0.00266495,0.00070274,2.409e-05
DEL,repeats,2,5+,0,2e-08,0.02787061,0.0005202,0.00039246,0,6.37e-06,0.00034474,0.00368842,4.457e-05
DEL,repeats,3,0,1.393e-05,2.813e-05,0.01966568,0.01222698,0.00082821,0.00048742,0.00127269,0.00470904,0.00030493,0.00091001
DEL,repeats,3,1,0.00476531,0.0045887,0.00227295,0.00053186,0.0001693,0.00582315,0.00321525,0.09865692,0.0030333,0.00467722
DEL,repeats,3,2,0.00232887,0.00018607,7.112e-05,1.458e-05,0,0.00096943,0.0001375,0.0210489,0.00315103,0.00114586
DEL,repeats,3,3,0.00043696,2.522e-05,5.46e-05,0,0,7.963e-05,4.31e-05,0.00402435,0.00056369,0.00056207
DEL,repeats,3,4,0,8e-08,0.00743934,0.00013714,4.842e-05,1e-08,4e-08,2.034e-05,0.00056081,4.1e-06
DEL,repeats,3,5+,0,5e-08,0.01091593,0.0002006,0.00011689,1e-08,2e-08,9.094e-05,0.00106972,1.239e-05
DEL,repeats,4,0,7.72e-06,1.01e-06,0.01225883,0.00754463,0.00024816,0.00199939,0.00032191,0.00744403,0.00017204,8.65e-06
DEL,repeats,4,1,0.00204568,0.00039301,0.00016353,0.00126574,0.00038393,0.0027147,0.00370912,0.06463555,0.00117676,0.00022369
DEL,repeats,4,2,0.00034006,2.32e-06,0,1e-08,0,0.00025633,7.079e-05,0.01051469,0.00011828,0.00052558
DEL,repeats,4,3,1.8e-07,2e-08,0.00476347,2.813e-05,3.93e-06,1.196e-05,1e-08,0.00332098,7.401e-05,0
DEL,repeats,4,4,0,8e-08,0.00589228,0.00010795,1.187e-05,2e-08,6e-08,2.065e-05,0.00015114,2.2e-07
DEL,repeats,4,5+,0.00013186,0,0.0014836,6.48e-06,0,8.68e-06,0.00013073,0.00013642,0.00019785,0
DEL,repeats,5+,0,0,0,0.016973,0.26290397,0.0013402,0.01009865,0.00034269,0.00182613,0.00072401,0.00166196
DEL,repeats,5+,1,0.0027663,1.91e-06,1.969e-05,0.00012626,0,0.00828555,4.091e-05,0.01240423,0.00305889,0.00076335
DEL,repeats,5+,2,0.00032003,1e-08,1.383e-05,3.78e-06,0,0.0002702,1.376e-05,0.00189873,0.00036646,4.345e-05
DEL,repeats,5+,3,8.46e-05,2e-08,0,0,0,2.32e-06,5.52e-06,0.00044882,4.645e-05,9.83e-06
DEL,repeats,5+,4,4.227e-05,2e-08,0,0,0,3e-08,3e-08,2.533e-05,8e-08,0
DEL,repeats,5+,5+,1.55e-05,8e-08,0.00012773,1.25e-06,0,1.67e-06,1.986e-05,3.04e-05,2.855e-05,1.968e-05
INS,repeats,2,0,0.00032125,0.00016245,0.00851554,0.00191791,0.00264684,0.00216363,0.00075917,0.00023383,0.00178003,0.02531704
INS,repeats,2,1,0.00019342,1.75e-06,0.02154437,0.00102164,0.00342507,7.478e-05,0.00085716,4.517e-05,0.00073786,1.884e-05
INS,repeats,2,2,0.00097731,1.423e-05,0.00848823,5.044e-05,0.00144128,0.00084131,0.00084981,9.26e-06,0.0015029,0.00170469
INS,repeats,2,3,0.00039251,0.00016978,0.00122056,1.32e-05,0.00111436,0.00052127,0.00039092,3.041e-05,0.00073033,0.00106562
INS,repeats,2,4,0.00186754,0.00270923,0,0,2.792e-05,0.00135647,0,1.752e-05,0.00116771,0.00302915
INS,repeats,2,5+,0.01359647,0.01813965,0.0010107,0.00130785,1.5e-06,0.00114182,0.00066971,0.00024792,0.00398183,0.00077855
INS,repeats,3,0,3.455e-05,0,0.00480438,4.032e-05,0.00011975,0.0013382,6.017e-05,4.6e-06,0.00029953,0.00711743
INS,repeats,3,1,0.00116734,3.818e-05,0.00792679,0.00011152,0.00037663,0.00036777,0.00085684,4.657e-05,0.00244171,0.00338087
INS,repeats,3,2,0.00014373,2e-08,0.00078393,9.13e-06,1.469e-05,0.00069094,0.00014988,0.00030609,0.00022648,0.00024281
INS,repeats,3,3,2.943e-05,1.259e-05,0,0,0,2.012e-05,0,0,4.392e-05,0.00020469
INS,repeats,3,4,9.538e-05,5.6e-07,0,0,0,5.2e-07,2e-08,0,5.871e-05,0.00043816
INS,repeats,3,5+,0.00194322,0.00051504,0,0,0,0.00040711,0,1.328e-05,0.00281413,0.00237287
INS,repeats,4,0,5.82e-06,6e-08,0.00313916,8.813e-05,0,0.00156758,3.798e-05,4.59e-06,0.00015697,0.00654289
INS,repeats,4,1,0.00110091,0.00063424,0.00451992,0.00088479,0.00029133,0.00099198,0.0013652,0.00118158,0.00417311,0.00221775
INS,repeats,4,2,1.989e-05,6.9e-06,7.61e-06,3.47e-06,0,0.00027182,7.78e-06,5.368e-05,6.056e-05,2.062e-05
INS,repeats,4,3,0.00011032,2.43e-06,0,0,0,2.114e-05,0,0,8.494e-05,0.00080036
INS,repeats,4,4,0.00023735,1.123e-05,0,0,0,1.851e-05,0,3.01e-05,0.0002544,0.00178924
INS,repeats,4,5+,0.0021423,0.00073177,0.00049389,0.00022608,0,0.00068726,0.00021527,4.581e-05,0.00513204,0.00054981
INS,repeats,5+,0,0,2.7e-07,0.00563241,0.00064219,5.04e-05,0.00867512,8.804e-05,3.4e-07,0.00043279,0.00354013
INS,repeats,5+,1,7.047e-05,0.00146962,0.00709261,0.01009606,0.00024634,0.00596444,0.00168387,0.00211338,0.00912558,0.03170004
INS,repeats,5+,2,4.067e-05,4.175e-05,0,1.516e-05,0,0.0013012,7.32e-06,7.357e-05,0.00017189,0.00065734
INS,repeats,5+,3,0.00010009,1.608e-05,1.51e-06,0,0,1.735e-05,3.46e-06,0,0.00015154,2.662e-05
INS,repeats,5+,4,4.155e-05,2.971e-05,0,0,0,2.054e-05,1.89e-06,0,0.00010322,8.546e-05
INS,repeats,5+,5+,0.00010382,8.1e-07,0.0001762,0,0,1.227e-05,4.493e-05,6.847e-05,0.00016598,1.189e-05
DEL,MH,2,1,1.679e-05,3.297e-05,0.02478694,0.00338087,0.00868075,1.171e-05,0.00067077,0.19540691,0.00030772,0.00156275
DEL,MH,3,1,2e-07,2.59e-06,0.01491332,0.01029277,0.00044449,0.00046266,0.00152882,0.00687129,0.00019756,0.00152424
DEL,MH,3,2,0.00283563,0.00127597,0.00774822,0.00430344,0.00047737,0.00452005,0.00080165,0.05098894,0.00139491,0.00309653
DEL,MH,4,1,9.329e-05,1.24e-06,0.00966211,0.00639025,0.0001443,0.00257027,0.00061937,0.01133833,0.00015871,1.6e-07
DEL,MH,4,2,0.00039687,0,0.00545699,0.00050021,0.00020738,0.00943729,0.00232439,0.03074895,0.00026598,0.00073275
DEL,MH,4,3,0.00047184,0,0.00170368,0.00029149,0.00012802,0.00506112,0.00093804,0.05090032,0.00055367,0.00198094
DEL,MH,5+,1,0.00044956,0,0.00279897,0.31662461,0.00050707,0.04854558,4e-08,2e-08,0.00015618,0.0016565
DEL,MH,5+,2,1e-07,2e-08,0.00079733,0.12965321,0.00069387,0.26322537,4.4e-07,3e-08,8.77e-06,0.00175842
DEL,MH,5+,3,0,1e-08,0.00247247,0.04410976,0.00029536,0.22991809,1.4e-07,7.796e-05,4.454e-05,0.00021726
