Type,Subtype,Indel_size,Repeat_MH_size,ID83A,ID83B,ID83C,ID83D,ID83E,ID83F,ID83G,ID83H,ID83I,ID83J,ID83K,ID83L
DEL,C,1,0,0.00239932,0,0.00037826,0.00033847,0.02435159,0.02017347,0.09307462,0.40220866,0.00206908,0.00308779,0.00013171,0.00580132
DEL,C,1,1,0,1.516e-05,1.216e-05,0.00336718,0.01961368,0.00075897,0.24383222,0.10017345,0.00429752,9.199e-05,0.00013311,1e-08
DEL,C,1,2,0,1e-08,0,0.00343256,0,0.00436874,0.22912874,0,0.00667842,2.646e-05,2.83e-06,1e-08
DEL,C,1,3,0.00132787,0.00105301,0.01082026,0.01104121,0.00535775,3.86e-06,0.07225042,0.00865924,0.00580231,0.00095426,0.00104439,0.00053471
DEL,C,1,4,0.00256707,0.00032766,0.00999276,0.00015734,1.523e-05,0.00189777,0.04608005,0.01220386,6.602e-05,0.00096467,0.00044392,0.00220739
DEL,C,1,5+,0.00896033,0.00093477,0.05361612,0.00046243,0.00037418,0.00059337,0.02541088,8.444e-05,4.401e-05,0.00262866,0.00269455,0.00564254
DEL,T,1,0,0.00428764,5.671e-05,0.02661155,0.15089772,0.03652948,0.00031851,0.03028535,0.10662614,0.06003419,0.00401556,0.00030299,0.01995153
DEL,T,1,1,0,1e-08,0,0.00264437,0.00040249,0,0.00206493,0.00753588,0.50910069,0.000308,2.815e-05,2e-08
DEL,T,1,2,0.00317914,6.486e-05,0.02235081,0.18784503,0.00293173,0.01033932,0.01052048,0.08428501,0.03190873,0.00098208,0.00012602,0.01002332
DEL,T,1,3,0.00775477,0.00039323,0.08698881,0.13052718,0.00086852,0.01843869,0.00394647,0.12703861,0.06257325,0.00095477,0.00124976,0.01811967
DEL,T,1,4,0.01795821,0.00033257,0.24503087,0.08458989,5.38e-06,0.01286748,0.00313282,0.08835427,0.00850911,0.00077096,0.00015568,0.01610129
DEL,T,1,5+,0.91350386,0.00053563,0.03238403,0.01385213,0.00036948,0.00045707,0.00042032,0.00572106,0.00130187,0.00120362,0.00316198,0.01267596
INS,C,1,0,0,1e-08,3.6e-07,1.18e-06,0.00332442,3.24e-06,1.4e-07,1.4e-07,1.18e-06,2.8e-07,2.2e-07,0.54108062
