"ex.sig","gt.sig","sim"
"SBS96A","SBS7a",0.936972628197394
"SBS96B","SBS7b",0.986858412611205
"SBS96C","SBS2",0.999081528217909
"SBS96D","SBS4",0.986141881731065
"SBS96F","SBS40",0.915809319833749
"SBS96G","SBS44",0.993144693215075
"SBS96H","SBS3",0.936277904868098
"SBS96I","SBS1",0.999630911018405
"SBS96J","SBS17b",0.999441275992746
"SBS96K","SBS18",0.988055953397567
"SBS96L","SBS7c",0.990278086093911
"SBS96M","SBS17a",0.999646052930634
"SBS96N","SBS7d",0.963319056829613
"SBS96O","SBS13",0.998456953873379
"SBS96P","SBS22",0.953797886233664
"SBS96Q","SBS28",0.96453384612592
