"","mean","stdev"
"averCosSim",0.993165876988249,0.000446837821439092
"falseNeg",0,0
"falsePos",1,0.707106781186548
"truePos",11,0
"TPR",1,0
"PPV",0.919230769230769,0.054506029921747
