Signature,NumberOfPostSamples
low confidence hdp.1,3000
low confidence hdp.2,2493
low confidence hdp.3,2200
low confidence hdp.4,1595
low confidence hdp.5,1171
low confidence hdp.6,1135
low confidence hdp.7,1000
low confidence hdp.8,600
low confidence hdp.9,598
low confidence hdp.10,573
low confidence hdp.11,352
low confidence hdp.12,326
low confidence hdp.13,215
low confidence hdp.14,200
low confidence hdp.15,198
low confidence hdp.16,185
low confidence hdp.17,18
low confidence hdp.18,2
low confidence hdp.19,2
