"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.937286212537762
"SBS96B","SBS7b",0.985991949081202
"SBS96C","SBS2",0.999068792060148
"SBS96D","SBS4",0.986588401642831
"SBS96F","SBS40",0.917109119612545
"SBS96G","SBS44",0.993162148442609
"SBS96H","SBS3",0.936028229944772
"SBS96I","SBS1",0.999632783278608
"SBS96J","SBS17b",0.999467405513979
"SBS96K","SBS18",0.988167256163846
"SBS96L","SBS7c",0.991286785305618
"SBS96M","SBS17a",0.999651291502228
"SBS96N","SBS7d",0.962748449856023
"SBS96O","SBS13",0.998469357468355
"SBS96P","SBS22",0.948715320373178
"SBS96Q","SBS28",0.960556551960609
