Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (False Positive) (ID5 0.826),ID83D (ID8 0.991),ID83E (ID3 0.977),ID83F (ID6 0.998),ID83G (ID13 0.981),ID83H (ID9 0.994),ID83I (ID4 0.993),ID83J (ID14 0.984)
DEL,C,1,0,0.00228156,1.1e-06,0.00092618,0.02860166,0.08439356,0.0227258,0.00312643,0.37208356,0.01034769,0.00307635
DEL,C,1,1,0,5.19e-06,0.00442507,0.018938,0.23431082,0.00130231,0.00425726,0.09575888,0.0004127,8.529e-05
DEL,C,1,2,0,0,0.00522643,0,0.21147278,0.00393413,0.00792617,0,0.00106021,0
DEL,C,1,3,0.00234901,0.00170506,0.00880301,0.0050579,0.07547259,2.799e-05,0.00559263,0.01020146,0.00125768,0.00051524
DEL,C,1,4,0.00357901,0.00050055,0.00277212,0.00058711,0.04439358,0.00166106,0.00043545,0.01422492,0.0025056,0.00124885
DEL,C,1,5+,0.01486349,0.00188767,0.00846533,0.00144546,0.02649152,0.0011367,0.00032142,0.00024237,0.00360194,0.00349551
DEL,T,1,0,0.00622426,0.00077355,0.11871388,0.03270967,0.02333501,0.00035143,0.06776535,0.11876857,0.00613039,0.01627675
DEL,T,1,1,0,1e-08,0.00668581,0.00159357,0.00326624,3.79e-06,0.41803408,0.00624715,0.00974512,1.86e-06
DEL,T,1,2,0.0068385,2.804e-05,0.13852166,0.00315281,0.00227963,0.00772736,0.06309276,0.09067704,0.00191055,0.00582833
DEL,T,1,3,0.01952688,0.00124508,0.10287549,0.00235096,0.00205528,0.0192756,0.07266676,0.11799714,0.00579869,0.0136365
DEL,T,1,4,0.04532485,0.00278992,0.08411472,0.00359312,0.00203615,0.01404187,0.0209627,0.10697388,0.00776962,0.01004493
DEL,T,1,5+,0.82632808,0.00028481,0.00894385,0.00023007,0.00103151,0.00018815,0.00170481,0.00748327,0.00111457,0.06318285
INS,C,1,0,1e-08,2e-08,4e-08,1.3e-07,1.3e-07,1e-08,6e-08,2.4e-07,8e-08,0.53286566
INS,C,1,1,0.00018188,9.38e-06,0.00826317,0.00195688,0.00518199,0.0014327,0.00269598,0,5.27e-05,0.01401983
INS,C,1,2,3.92e-06,1e-08,0.00579626,0.0015973,0.00403431,1.498e-05,0.00368936,8.33e-06,7.979e-05,0.00047515
INS,C,1,3,0.00038434,0.00065924,0.0018721,0.00025825,0.00879749,5.1e-07,0.0002871,8.07e-06,0.00078444,0.00078064
INS,C,1,4,0.00271262,0.0011575,0.00315443,0.00063553,0.00831067,0.00027597,1.065e-05,8.546e-05,0.00049168,0.00071117
INS,C,1,5+,0.00789671,0.01879716,0.03257623,0.0091841,0.00812231,1.891e-05,8.2e-07,7.398e-05,0.003698,0.00270805
INS,T,1,0,0.00104991,0.00222368,0.00197125,0.0033106,0.01743282,0.00634843,0.02428797,0.01376637,0.00460633,0.03814589
INS,T,1,1,0,0,0.01176658,0.00421361,0.06625383,0.00018006,0.01090726,0.00468843,0.00035759,0.00275931
INS,T,1,2,0.00049677,4.06e-06,0.0348885,8.115e-05,0.05519105,0,0.01530119,3.377e-05,0.00010753,0.00130998
INS,T,1,3,0.00105243,0.00302974,0.02743937,0.00129546,0.03187193,3.414e-05,0.01642487,0.00010724,0.00052285,0.00028605
INS,T,1,4,0.00340398,0.01359635,0.02901268,0.00424398,0.00822123,0.00041334,0.01243807,0.00192307,0.00224402,0.00466045
INS,T,1,5+,0.00272492,0.92186502,0.05740025,0.02320927,0.00141749,0.00571436,0.00146758,0.00590043,0.00333143,0.16362438
DEL,repeats,2,0,3.081e-05,0.00013225,0.0172341,0.0072236,0.00869494,0.00014936,0.02826266,0.01244778,0.08747099,0.00095657
DEL,repeats,2,1,0.00294668,8.075e-05,0.01431777,0.00714646,0.01175796,0.00037196,0.00973413,0.0006361,0.20630629,0.00685091
DEL,repeats,2,2,0.00168126,0.0004421,0.00176667,0.00013186,0.0134845,0.00162249,0.00232398,4.887e-05,0.04578754,0.0022562
DEL,repeats,2,3,0.00093322,0.00014164,0.00011918,2.415e-05,0.00624812,0.00039478,3.501e-05,9.02e-06,0.00981697,0.00020299
DEL,repeats,2,4,0.00089379,8.19e-06,0.00060914,0.00022016,0.00325634,0.00014335,0.0001741,0.00018885,0.00321881,0.00040994
DEL,repeats,2,5+,0,0,0.02288054,2.98e-05,0.00054359,1.04e-06,0.01392603,2.111e-05,0.00098305,0
DEL,repeats,3,0,0,1.098e-05,0.01085811,0.01402761,0.0022615,0.00074962,0.01764862,0.00088969,0.00476925,0.0014416
DEL,repeats,3,1,0.00426891,0.00340954,0.01065977,0.0021245,2.29e-06,0.00406956,0.00054302,0.00134738,0.09680028,0.00474003
DEL,repeats,3,2,0.0020887,0.00053658,0.00132125,0.00028239,2.23e-06,0.00050734,0.0006324,0.00043866,0.01453798,0.00160531
DEL,repeats,3,3,0.00049507,0.0002546,0.00114356,0.00041872,4.037e-05,0.00010468,0.00017371,0.00025219,0.00362556,0.00034369
DEL,repeats,3,4,0,1e-08,0.005994,1e-08,9.22e-06,1e-08,0.00349472,3e-08,0.00042074,4.12e-06
DEL,repeats,3,5+,0,1e-08,0.00934019,0,0.00019032,3.229e-05,0.00485117,1.51e-05,0.00023079,2.707e-05
DEL,repeats,4,0,0,3.834e-05,0.00673161,0.00732504,0.00069859,0.0023459,0.01224673,0.00032793,0.00639813,0.00035402
DEL,repeats,4,1,0.00190947,0.00037613,0.00191803,0.00071412,0.00097627,0.00246501,0.00024964,0.00246057,0.05633304,0.00062975
DEL,repeats,4,2,0.00048776,0,9.82e-06,8.2e-07,0,0.00054113,5.41e-05,4.112e-05,0.01016637,0.00060199
DEL,repeats,4,3,0,0,0.00372684,5.33e-06,3.723e-05,9.992e-05,0.00226136,1.68e-06,0.00370939,3.362e-05
