MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
1:Del:C:0	0.00208692	0.00000049	0.00115982	0.02817129	0.08674989	0.02187112	0.00241133	0.38411631	0.00409833	0.00840265	0.00327183
1:Del:C:1	0.00000000	0.00001894	0.00773656	0.01949632	0.23679346	0.00105354	0.00373408	0.09704935	0.00029327	0.00057802	0.00006379
1:Del:C:2	0.00000000	0.00000000	0.00888792	0.00000000	0.21643396	0.00383467	0.00761567	0.00000000	0.00000000	0.00150621	0.00000000
1:Del:C:3	0.00166229	0.00137485	0.00830597	0.00513335	0.07667429	0.00002145	0.00486794	0.00991834	0.01094600	0.00111252	0.00057598
1:Del:C:4	0.00228666	0.00013959	0.00026788	0.00061933	0.04550947	0.00163965	0.00057060	0.01379396	0.01480185	0.00191496	0.00144561
1:Del:C:5	0.01118930	0.00060120	0.00110746	0.00125807	0.02661262	0.00087785	0.00016482	0.00006226	0.04568039	0.00247853	0.00369390
1:Del:T:0	0.00330136	0.00032833	0.14513515	0.03338302	0.02092526	0.00018124	0.04852165	0.11987170	0.03089446	0.00630703	0.01662888
1:Del:T:1	0.00000000	0.00000002	0.01071172	0.00026422	0.00435727	0.00000542	0.52527280	0.00320482	0.00000005	0.00351349	0.00000001
1:Del:T:2	0.00531537	0.00000457	0.17531704	0.00272128	0.00034548	0.00754243	0.03331598	0.09331189	0.01562154	0.00351500	0.00577190
1:Del:T:3	0.01327438	0.00050260	0.12132601	0.00183984	0.00098757	0.01911840	0.06145430	0.11688280	0.06165217	0.00430142	0.01343509
1:Del:T:4	0.02354415	0.00006237	0.07131264	0.00039123	0.00069286	0.01324277	0.00806515	0.10033475	0.20391821	0.00371161	0.00962067
1:Del:T:5	0.89051147	0.00018105	0.02649465	0.00023553	0.00066498	0.00021672	0.00121926	0.00505258	0.02765507	0.00046900	0.05561183
1:Ins:C:0	0.00000001	0.00000002	0.00000004	0.00000013	0.00000014	0.00000001	0.00000005	0.00000025	0.00000002	0.00000009	0.54234682
1:Ins:C:1	0.00015634	0.00001437	0.01069540	0.00208391	0.00383782	0.00143237	0.00107598	0.00002319	0.00146161	0.00131023	0.01443578
1:Ins:C:2	0.00000259	0.00000028	0.00834217	0.00170266	0.00335612	0.00001307	0.00183289	0.00001913	0.00067620	0.00097338	0.00043407
1:Ins:C:3	0.00021043	0.00057295	0.00127833	0.00007469	0.00847228	0.00000000	0.00015526	0.00000475	0.00346595	0.00100392	0.00070772
1:Ins:C:4	0.00181970	0.00071791	0.00015126	0.00044256	0.00826538	0.00021922	0.00000282	0.00004095	0.01352451	0.00047236	0.00066734
1:Ins:C:5	0.00328556	0.01463318	0.00003399	0.00759747	0.00780079	0.00000000	0.00000000	0.00000009	0.09910306	0.00470308	0.00239249
1:Ins:T:0	0.00060715	0.00181437	0.00006819	0.00327956	0.01833736	0.00649456	0.03064560	0.01330140	0.00855265	0.00374988	0.03922295
1:Ins:T:1	0.00000000	0.00000000	0.01763090	0.00439928	0.06466913	0.00014536	0.00785606	0.00524998	0.00239533	0.00300106	0.00286721
1:Ins:T:2	0.00024705	0.00000050	0.04497933	0.00008660	0.05394209	0.00000000	0.00795812	0.00000734	0.00396764	0.00193328	0.00133120
1:Ins:T:3	0.00059481	0.00267487	0.02979865	0.00110864	0.03059120	0.00003640	0.01325450	0.00017715	0.01266803	0.00221528	0.00026840
1:Ins:T:4	0.00154358	0.01188160	0.01625641	0.00189678	0.00791999	0.00044361	0.01163157	0.00150661	0.04567416	0.00362230	0.00478235
1:Ins:T:5	0.00278830	0.94501182	0.00107444	0.01304080	0.00248969	0.00684505	0.00168080	0.00453518	0.10391705	0.01174401	0.15344069
2:Del:R:0	0.00002407	0.00012908	0.02350097	0.00712967	0.00869061	0.00009964	0.02852242	0.01285751	0.00049246	0.08929389	0.00141365
2:Del:R:1	0.00228770	0.00003858	0.01914177	0.00757235	0.01164082	0.00028967	0.00892914	0.00049110	0.00770818	0.19578464	0.00794444
2:Del:R:2	0.00121266	0.00027270	0.00164117	0.00012367	0.01369058	0.00161152	0.00269737	0.00000000	0.00585916	0.04533829	0.00272912
2:Del:R:3	0.00091704	0.00013383	0.00002156	0.00003371	0.00637228	0.00036514	0.00007191	0.00000654	0.00068523	0.01006186	0.00024701
2:Del:R:4	0.00083579	0.00000630	0.00066476	0.00024111	0.00323593	0.00011125	0.00007579	0.00016560	0.00097253	0.00327391	0.00031377
2:Del:R:5	0.00000000	0.00000000	0.02933739	0.00005743	0.00048693	0.00000234	0.00945183	0.00006975	0.00010115	0.00163680	0.00000000
3:Del:R:0	0.00000000	0.00000991	0.01812675	0.01434873	0.00173619	0.00064357	0.01320519	0.00116428	0.00003207	0.00494151	0.00146196
3:Del:R:1	0.00211166	0.00213051	0.00157104	0.00075966	0.00000000	0.00402222	0.00082554	0.00049437	0.03500918	0.10098569	0.00568396
3:Del:R:2	0.00131848	0.00029974	0.00036106	0.00012902	0.00000113	0.00048512	0.00063262	0.00033822	0.00840613	0.01426941	0.00164653
3:Del:R:3	0.00025203	0.00011719	0.00052768	0.00030181	0.00004253	0.00011984	0.00008786	0.00022371	0.00346767	0.00366888	0.00041315
3:Del:R:4	0.00000000	0.00000001	0.00765322	0.00000001	0.00002212	0.00000023	0.00237558	0.00000350	0.00003869	0.00062044	0.00000686
3:Del:R:5	0.00000000	0.00000000	0.01160759	0.00000000	0.00021405	0.00002659	0.00342317	0.00000727	0.00002226	0.00059430	0.00002775
4:Del:R:0	0.00000234	0.00004267	0.00860049	0.00775503	0.00062705	0.00217608	0.01303009	0.00048622	0.00009826	0.00595002	0.00034369
4:Del:R:1	0.00114984	0.00016685	0.00046682	0.00044275	0.00101399	0.00245951	0.00045879	0.00223390	0.00930174	0.05599834	0.00091131
4:Del:R:2	0.00046211	0.00000000	0.00002275	0.00000713	0.00000000	0.00053971	0.00009457	0.00002557	0.00034656	0.01061914	0.00058101
4:Del:R:3	0.00000000	0.00000000	0.00419529	0.00000243	0.00009033	0.00012141	0.00215995	0.00000140	0.00002329	0.00375983	0.00005123
4:Del:R:4	0.00000000	0.00000002	0.00619982	0.00007785	0.00014591	0.00000766	0.00203492	0.00000448	0.00001466	0.00026961	0.00000000
4:Del:R:5	0.00009750	0.00001246	0.00203762	0.00000000	0.00006821	0.00007005	0.00055577	0.00000339	0.00076349	0.00067384	0.00002569
5:Del:R:0	0.00000000	0.00000000	0.00808939	0.30462389	0.00094365	0.01227200	0.02255722	0.00009919	0.00059828	0.00264303	0.00064735
5:Del:R:1	0.00312647	0.00000000	0.00008667	0.00000000	0.00000000	0.00745088	0.00102027	0.00008551	0.00191572	0.01181524	0.00045712
5:Del:R:2	0.00036829	0.00006285	0.00026189	0.00026931	0.00001944	0.00044228	0.00026966	0.00004626	0.00095623	0.00280630	0.00003607
5:Del:R:3	0.00009221	0.00000382	0.00031432	0.00002820	0.00000933	0.00017491	0.00004860	0.00007859	0.00043000	0.00092870	0.00008722
5:Del:R:4	0.00003925	0.00000096	0.00007137	0.00001929	0.00003704	0.00008320	0.00002781	0.00004867	0.00034912	0.00013007	0.00001910
5:Del:R:5	0.00002052	0.00001579	0.00072196	0.00000807	0.00001203	0.00000000	0.00057664	0.00002643	0.00005131	0.00015302	0.00000517
2:Ins:R:0	0.00014922	0.00047223	0.00596840	0.00179902	0.00233517	0.00199581	0.01126397	0.00078264	0.00155959	0.00086687	0.02641637
2:Ins:R:1	0.00022173	0.00000498	0.02663778	0.00114903	0.00283892	0.00006032	0.00691253	0.00140976	0.00018836	0.00064945	0.00000000
2:Ins:R:2	0.00079282	0.00016547	0.01049376	0.00031918	0.00125969	0.00039199	0.00209325	0.00036566	0.00246185	0.00013312	0.00110190
2:Ins:R:3	0.00028808	0.00030598	0.00139275	0.00038756	0.00087049	0.00037498	0.00091400	0.00032382	0.00254867	0.00040875	0.00096974
2:Ins:R:4	0.00139742	0.00167771	0.00008223	0.00048799	0.00020972	0.00004829	0.00002223	0.00005246	0.01326408	0.00048661	0.00357904
2:Ins:R:5	0.00794687	0.00775468	0.00086725	0.00224852	0.00000217	0.00000645	0.00013195	0.00000115	0.12991899	0.00458009	0.00010160
3:Ins:R:0	0.00000000	0.00004749	0.00498479	0.00042137	0.00025946	0.00103440	0.00198114	0.00044050	0.00003903	0.00019310	0.00821254
3:Ins:R:1	0.00071434	0.00023648	0.00740198	0.00030922	0.00027131	0.00007548	0.00519659	0.00060876	0.00424726	0.00057631	0.00309011
3:Ins:R:2	0.00011262	0.00002429	0.00185915	0.00000175	0.00011930	0.00082415	0.00050861	0.00000129	0.00069578	0.00107853	0.00029132
3:Ins:R:3	0.00000637	0.00012996	0.00000000	0.00004321	0.00000126	0.00029224	0.00007562	0.00003077	0.00024697	0.00001288	0.00031817
3:Ins:R:4	0.00007708	0.00006804	0.00003525	0.00010670	0.00001355	0.00016067	0.00000006	0.00003282	0.00060676	0.00012819	0.00091235
3:Ins:R:5	0.00155132	0.00060815	0.00016325	0.00015211	0.00000070	0.00000039	0.00000166	0.00000000	0.00904421	0.00025440	0.00207963
4:Ins:R:0	0.00000587	0.00000000	0.00223947	0.00072046	0.00010025	0.00169669	0.00313202	0.00001028	0.00002126	0.00041595	0.00532971
4:Ins:R:1	0.00066886	0.00032784	0.00381579	0.00079702	0.00001122	0.00064604	0.00523142	0.00092615	0.00722050	0.00177820	0.00194135
4:Ins:R:2	0.00000000	0.00002882	0.00031996	0.00015521	0.00018162	0.00043856	0.00022799	0.00001078	0.00006558	0.00007142	0.00008106
4:Ins:R:3	0.00025156	0.00005367	0.00000460	0.00002479	0.00000133	0.00038381	0.00000067	0.00000026	0.00022555	0.00007357	0.00079727
4:Ins:R:4	0.00008972	0.00031059	0.00002009	0.00017162	0.00000001	0.00000378	0.00003025	0.00013313	0.00120853	0.00026229	0.00147255
4:Ins:R:5	0.00157420	0.00044344	0.00075100	0.00099523	0.00000390	0.00003623	0.00077943	0.00000602	0.00884444	0.00031802	0.00016157
5:Ins:R:0	0.00000000	0.00000002	0.00522960	0.00000000	0.00008130	0.00886277	0.00392555	0.00002214	0.00002493	0.00011593	0.00280193
5:Ins:R:1	0.00002019	0.00156734	0.00150388	0.01122246	0.00030084	0.00576438	0.01498478	0.00114013	0.00227939	0.00229666	0.02534625
5:Ins:R:2	0.00000297	0.00019851	0.00033284	0.00001351	0.00000887	0.00134212	0.00032978	0.00000978	0.00041941	0.00005065	0.00055626
5:Ins:R:3	0.00004585	0.00017811	0.00027364	0.00009225	0.00005406	0.00005522	0.00001054	0.00013947	0.00085377	0.00005616	0.00009235
5:Ins:R:4	0.00000184	0.00016698	0.00022780	0.00003289	0.00000941	0.00002016	0.00004641	0.00015342	0.00034924	0.00003039	0.00001162
5:Ins:R:5	0.00003555	0.00014593	0.00080096	0.00040744	0.00006000	0.00000156	0.00026047	0.00000791	0.00070773	0.00002024	0.00000080
2:Del:M:1	0.00000431	0.00004029	0.02476334	0.00011060	0.00967781	0.00009883	0.01510218	0.00012918	0.00031935	0.20402946	0.00435925
3:Del:M:1	0.00000000	0.00000062	0.00958314	0.01240892	0.00205768	0.00081265	0.01559418	0.00086427	0.00001486	0.00627754	0.00134562
3:Del:M:2	0.00158636	0.00080935	0.01014032	0.00320455	0.00049760	0.00393384	0.00232847	0.00026523	0.01440900	0.04161232	0.00388254
4:Del:M:1	0.00002466	0.00003104	0.01172923	0.00545174	0.00011678	0.00249081	0.00346087	0.00191778	0.00041531	0.01207940	0.00012679
4:Del:M:2	0.00045588	0.00004416	0.00660733	0.00077236	0.00019228	0.00958327	0.00135455	0.00161163	0.00065581	0.03033459	0.00090593
