MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	0.00387012	0.00000000	0.00480259	0.03272616	0.09042464	0.02793185	0.33400090	0.00979457	0.00735295	0.00798042
1:Del:C:1	0.00001686	0.00021449	0.01214753	0.02044712	0.21858699	0.00126651	0.10368706	0.00166045	0.00263031	0.00018934
1:Del:C:2	0.00000000	0.00000000	0.01548461	0.00003841	0.19025526	0.00557312	0.00141713	0.00001361	0.01607459	0.00000005
1:Del:C:3	0.00243860	0.00184318	0.01057803	0.00432938	0.07203322	0.00012537	0.01153199	0.00060655	0.00199600	0.00032525
1:Del:C:4	0.00384302	0.00037545	0.00019325	0.00027138	0.04579418	0.00179430	0.01517810	0.00080981	0.00290575	0.00195572
1:Del:C:5	0.01451439	0.00330468	0.00120119	0.00030913	0.02528793	0.00097007	0.00066043	0.00200580	0.00401333	0.00229410
1:Del:T:0	0.00784955	0.00112929	0.11338063	0.03465417	0.03162879	0.00167821	0.10354940	0.00368405	0.00367697	0.01771003
1:Del:T:1	0.00000000	0.00000000	0.16560391	0.00816826	0.00369803	0.00000877	0.03097333	0.00474862	0.03148988	0.00001937
1:Del:T:2	0.00710477	0.00075640	0.12758516	0.00572337	0.01402739	0.01219120	0.08288610	0.00020943	0.00176434	0.01032820
1:Del:T:3	0.02031825	0.00222640	0.10016417	0.00594472	0.01273659	0.02340748	0.10783988	0.00008305	0.00360486	0.01679773
1:Del:T:4	0.04756565	0.00427567	0.05356668	0.00062209	0.01013066	0.01856872	0.08724365	0.00019995	0.00294417	0.01301944
1:Del:T:5	0.82035108	0.00009378	0.01012654	0.00329109	0.00639899	0.00321156	0.00924272	0.00563781	0.03108052	0.03930252
1:Ins:C:0	0.00000000	0.00000000	0.00000054	0.00000096	0.00000100	0.00000305	0.00000204	0.00000112	0.00359696	0.45905608
1:Ins:C:1	0.00013833	0.00000003	0.00008230	0.00024888	0.00684192	0.00135796	0.00000000	0.00089818	0.12073422	0.01269095
1:Ins:C:2	0.00000708	0.00000000	0.00216700	0.00010751	0.00519019	0.00000170	0.00000000	0.00044611	0.07344865	0.00066886
1:Ins:C:3	0.00045301	0.00039103	0.00000000	0.00000000	0.00707492	0.00009504	0.00000000	0.00033293	0.02775081	0.00177772
1:Ins:C:4	0.00288984	0.00162718	0.00000000	0.00000000	0.00769173	0.00013124	0.00000000	0.00003573	0.00948781	0.00148047
1:Ins:C:5	0.00894461	0.02472748	0.00003006	0.00003502	0.00765718	0.00020686	0.00101456	0.00035024	0.00473327	0.00248349
1:Ins:T:0	0.00117580	0.00188903	0.00968248	0.00336807	0.01642557	0.00581797	0.02148294	0.00096883	0.01410810	0.03464910
1:Ins:T:1	0.00000000	0.00000000	0.00744101	0.00201495	0.05596923	0.00001307	0.00684391	0.00161442	0.24758318	0.00275153
