Signature,NumberOfPostSamples
low confidence hdp.1,3200
low confidence hdp.2,3000
low confidence hdp.3,2795
low confidence hdp.4,2078
low confidence hdp.5,2076
low confidence hdp.6,1579
low confidence hdp.7,1576
low confidence hdp.8,1289
low confidence hdp.9,1000
low confidence hdp.10,997
low confidence hdp.11,905
low confidence hdp.12,800
low confidence hdp.13,600
low confidence hdp.14,600
low confidence hdp.15,553
low confidence hdp.16,200
low confidence hdp.17,35
low confidence hdp.18,4
low confidence hdp.19,2
low confidence hdp.20,2
low confidence hdp.21,2
