Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID2 0.998),hdp.2 (ID5 0.972),hdp.3 (ID6 1),hdp.4 (ID8 0.975),hdp.5 (ID1 1),hdp.6 (False Positive) (ID8 0.968),hdp.7 (ID3 0.983),hdp.8 (ID14 0.914),hdp.9 (ID9 0.998),hdp.10 (ID4 0.998),hdp.11 (ID13 0.999),hdp.12 (ID11 0.999),hdp.13 (ID12 0.993),hdp.14 (ID10 0.987)
DEL,C,1,0,0.00458803719588619,0.0194721512230401,0.0296025078894627,0.0396280078375328,0.000230194320530159,0.0381527013795538,0.120424777089438,0.0126676307689454,0.324008753490004,0.00822226916039504,0.0505859965483548,0.00278705642217747,0.0487091687938287,0.0102893138825298
DEL,C,1,1,0.000127778527135573,0.0265073032124933,0.00560179897698815,0.0230392202732361,0.00073925661371582,0.0214209898336268,0.166521527669063,0.00161782960675962,0.0945572905260119,0.0026074853617698,0.0145344937679568,0.00122039390956858,0.0115172767285638,0.0235158336722468
DEL,C,1,2,3.53109811969456e-06,0.0277051903269113,0.00785448478245589,0.00266905705746579,1.15580771704734e-05,0.00318120580713617,0.216299754609848,0.000876253308413694,0.00262247104207501,0.00148365143321957,0.0063251586749401,0.000196148114553096,0.00200749137023527,0.0173020753497138
DEL,C,1,3,0.00243154277863777,0.0132798263301018,0.000894841050980021,0.00571208054737964,0.00169320295845684,0.00586803722030946,0.0642933719980611,0.000769131877067276,0.00938734516092555,0.0013833713061461,0.00565686824148737,0.000413661738655489,0.00570274128865575,0.007428650797854
DEL,C,1,4,0.00333949901385064,0.00224855777716328,0.00291850736047284,0.00133044175442775,0.00080555626602977,0.000693882810589013,0.0448374530541592,0.00278356448846183,0.0114004383998166,0.00164793635871555,0.00326839014952361,0.000252427688801301,0.00304238137191799,0.00409853839182131
DEL,C,1,5+,0.0137743674716021,0.0022042660821662,0.0016851686245769,0.000271786441408487,0.00330386798963084,0.00102029735664295,0.0232395729981336,0.00533203971989381,0.0011143150252245,0.00244299837841436,0.00138638322507592,0.000772255156380296,0.0345136357875158,0.00644778350572123
DEL,T,1,0,0.00719286902622408,0.0680540522255545,0.00392176218269062,0.0333005469826633,0.00104996059582587,0.0379589703332618,0.0411199696160217,0.0238652736013144,0.0973538789962132,0.00407770589021362,0.0478374113125884,0.000667912551006876,0.0242642891209029,0.0323044685619842
DEL,T,1,1,4.46103414297016e-06,0.111078661284322,0.000265032294934472,0.00822425934747719,1.04376375475474e-05,0.0108760750383704,0.0103296214458133,0.000635779789966164,0.0449823591269176,0.000804380452746767,0.531277109670802,0.00103292436259979,0.00405511397425341,0.00114234666703972
DEL,T,1,2,0.00586148740809461,0.160748321838949,0.0119868988280974,0.00993698995071768,0.000758432330394934,0.00744803452262141,0.0124380459197298,0.0122520137102465,0.078776941126334,0.000996323533475645,0.0212437872086156,0.000720296135202842,0.0219328038902815,0.00271477206526725
DEL,T,1,3,0.0164935212939859,0.0802794322884505,0.021240655810578,0.00638928350658704,0.00273784754074646,0.0106371773361451,0.0153399822371133,0.0229024915472381,0.117130655324688,0.00131895050624824,0.0596566494106167,0.00155686010174028,0.0169614892003596,0.00741406169591315
DEL,T,1,4,0.0373232582996844,0.0548570668085055,0.0176584737279073,0.00233975804027653,0.00399039306988816,0.000528739430717942,0.0118405927615704,0.0205135708688116,0.0887349335229269,0.00118332213952602,0.0168195945285524,0.00121738450699617,0.0378513458528321,0.00983785112520947
DEL,T,1,5+,0.777738601734598,0.0288704560211143,0.00415069940483341,0.00878242835916543,0.000685325669889893,0.00873302141333826,0.00757508221648302,0.0727607522749104,0.00195281894879613,0.00580879500097445,0.00839211013148341,0.00661522877578253,0.0058052386289931,0.00308249737446128
INS,C,1,0,3.34118606592827e-06,0.000311104371470455,0.00217860079068804,0.00334770616057301,9.05666196410957e-06,0.00262254785147386,0.00263729272354675,0.57254447269553,6.4946522687988e-05,0.00016547350113985,0.0020081927375068,0.000316686550368034,0.00132518292250209,0.000424682761976803
INS,C,1,1,0.000200985192581223,0.00147695073782551,0.00160867710020726,0.00221965011824353,2.43155647083803e-05,0.00184398873747047,0.00194281005940382,0.0160862984909649,0.000251487276199436,0.000100755557331023,0.00166377122463135,0.166241158787318,0.00251207578264428,0.00204707083808395
INS,C,1,2,7.35529384236842e-06,0.00285570363738719,0.000261556225526797,0.00166995947961504,1.46068878793632e-05,0.00101460939799261,0.0011344496696192,0.0011862289029098,0.000701809999669873,0.000146563262645848,0.0017015549720791,0.0938432243613261,0.00392333167953397,0.00116073293249942
INS,C,1,3,0.000499523142860756,0.000520264951560453,0.000212855259017782,0.000169170480516755,0.000901206036755358,0.000106802256229559,0.00659777750258395,0.00172548664526277,0.000164250137623391,0.000392634078196653,0.000176064967464219,0.0382388176968855,0.00134362159748342,0.00272656325724684
INS,C,1,4,0.00251235922007784,0.000215189686689321,0.000407993362496887,0.000781722300673166,0.00179584130258952,0.000682953951707037,0.00645624986608559,0.00207609790904463,0.000220196595929176,0.000115422580776403,0.000153784459886418,0.0106130515167264,0.00399964300246087,0.00272696295866987
INS,C,1,5+,0.0105072990159374,0.000356908285008026,0.000384064532632068,0.000461521938853633,0.0223508873288521,0.00148318852119599,0.00870053983449278,0.00126166494245796,0.000621220211550393,0.000375827618592304,0.00108053262105338,0.00180890068896588,0.016022666244798,0.011572155599767
