Type,Subtype,Indel_size,Repeat_MH_size,ID83A,ID83B,ID83C,ID83D,ID83E,ID83F,ID83G,ID83H,ID83I
DEL,C,1,0,0.00296691,3.23e-06,0.00343301,0.04660871,0.11016311,0.02852355,0.31251308,0.00640996,0.00978699
DEL,C,1,1,7.79e-06,0.00027321,0.0091796,0.02215384,0.22035653,0.00299294,0.08498755,4.975e-05,0.0027323
DEL,C,1,2,0,0,0.01104404,0.00033276,0.1921044,0.00401385,0.00070562,0,0.0003271
DEL,C,1,3,0.00255662,0.00156511,0.00866742,0.00500281,0.07032411,3.611e-05,0.01056268,0.0006058,0.00087125
DEL,C,1,4,0.0036912,0.00090651,8.81e-06,0.00038287,0.04283203,0.00185818,0.01017053,0.00172153,0.00221442
DEL,C,1,5+,0.01498134,0.00336975,0.00014034,0.00025501,0.02328484,0.00069923,0.00205411,0.00297533,0.00231357
DEL,T,1,0,0.00764759,0.00147708,0.11298434,0.04144019,0.03599298,0.00399195,0.0952155,0.01599674,0.00782416
DEL,T,1,1,0,0,0.14417861,0.03895887,0.0041247,1.885e-05,0.07154508,0,0.0327353
DEL,T,1,2,0.00699059,0.00113175,0.13045092,0.00924036,0.01779152,0.01205268,0.07757775,0.00947329,0.00088196
DEL,T,1,3,0.02048605,0.00220597,0.10047355,0.01177727,0.01420543,0.02240809,0.1089541,0.0183744,0.00269202
DEL,T,1,4,0.04787146,0.00386663,0.05427769,0.00285196,0.0118035,0.01812482,0.08474505,0.01380824,0.00166281
DEL,T,1,5+,0.81604132,0.00069907,0.00434142,0.02443392,0.00074972,0.00018934,0.01498083,0.04926963,0.0019885
INS,C,1,0,0,0,4e-08,1.5e-07,1.3e-07,6e-08,1.8e-07,0.45987164,2.1e-07
INS,C,1,1,0.00023575,0,0.00772773,0.0023406,0.00471787,0.00125541,4.61e-06,0.01089879,7.43e-06
INS,C,1,2,1.412e-05,2e-07,0.00715583,0.00133115,0.00421367,0.00011208,0.00010884,0.00052838,8.71e-06
INS,C,1,3,0.0004731,0.00073099,0.00119745,4.146e-05,0.00788466,4.704e-05,0.00026382,0.00172472,4.288e-05
INS,C,1,4,0.00286475,0.00165766,3.886e-05,0.00075624,0.00729684,9.656e-05,0.00079504,0.00129149,7.03e-06
INS,C,1,5+,0.00873431,0.02280707,0,0.00167825,0.00624303,0,0.00656154,0.0014009,0.00016433
INS,T,1,0,0.00127382,0.00213439,0.00878295,0.00671048,0.01507619,0.00535955,0.01492191,0.03206127,0.00432731
INS,T,1,1,4e-08,9.1e-07,0.02144553,0.00484491,0.05756489,0.0002524,0.00398418,0.00267837,0.00046086
INS,T,1,2,0.00068817,0.00011238,0.035499,0.00040791,0.05116182,0,0.00060412,0.0016832,1.672e-05
INS,T,1,3,0.00122123,0.0037996,0.02356504,0.00135942,0.03009086,5.346e-05,0.00217554,0.00055736,0.00013601
INS,T,1,4,0.00322859,0.01615333,0.01524472,0.00206229,0.00721003,0.00088683,0.00692362,0.00524791,0.00097559
