MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	0.00296674	0.00000323	0.00343311	0.04660889	0.11016314	0.02852379	0.31251555	0.00640585	0.00978604
1:Del:C:1	0.00000779	0.00027324	0.00918001	0.02215395	0.22035105	0.00299308	0.08498857	0.00004976	0.00273217
1:Del:C:2	0.00000000	0.00000000	0.01104451	0.00033278	0.19209897	0.00401394	0.00070599	0.00000000	0.00032707
1:Del:C:3	0.00255679	0.00156510	0.00866760	0.00500278	0.07032227	0.00003611	0.01056306	0.00060785	0.00087126
1:Del:C:4	0.00369168	0.00090652	0.00000881	0.00038209	0.04283092	0.00185819	0.01017078	0.00172366	0.00221447
1:Del:C:5	0.01498236	0.00336971	0.00014019	0.00025501	0.02328420	0.00069922	0.00205375	0.00299114	0.00231361
1:Del:T:0	0.00764813	0.00147705	0.11298539	0.04143986	0.03599515	0.00399192	0.09521644	0.01598605	0.00782406
1:Del:T:1	0.00000000	0.00000000	0.14418039	0.03895836	0.00412864	0.00001885	0.07154419	0.00000000	0.03273570
1:Del:T:2	0.00699039	0.00113170	0.13045215	0.00924173	0.01779439	0.01205267	0.07757786	0.00947113	0.00088195
1:Del:T:3	0.02048709	0.00220586	0.10047420	0.01177796	0.01420806	0.02240802	0.10895480	0.01837749	0.00269184
1:Del:T:4	0.04787468	0.00386644	0.05427740	0.00285186	0.01180508	0.01812461	0.08474582	0.01385179	0.00166264
1:Del:T:5	0.81603801	0.00069680	0.00433006	0.02443666	0.00075103	0.00018738	0.01498565	0.05025415	0.00198785
1:Ins:C:0	0.00000000	0.00000000	0.00000004	0.00000014	0.00000013	0.00000006	0.00000018	0.45933025	0.00000021
1:Ins:C:1	0.00023574	0.00000000	0.00772786	0.00234065	0.00471774	0.00125540	0.00000461	0.01088625	0.00000743
1:Ins:C:2	0.00001412	0.00000020	0.00715594	0.00133114	0.00421362	0.00011208	0.00010885	0.00052769	0.00000871
1:Ins:C:3	0.00047293	0.00073091	0.00119748	0.00004186	0.00788441	0.00004704	0.00026389	0.00172348	0.00004289
1:Ins:C:4	0.00286381	0.00165757	0.00003885	0.00075869	0.00729664	0.00009656	0.00079487	0.00129363	0.00000703
1:Ins:C:5	0.00873478	0.02280719	0.00000000	0.00167827	0.00624276	0.00000000	0.00656135	0.00141099	0.00016441
1:Ins:T:0	0.00127374	0.00213438	0.00878306	0.00671087	0.01507611	0.00535955	0.01492201	0.03202533	0.00432732
1:Ins:T:1	0.00000004	0.00000091	0.02144593	0.00484494	0.05756328	0.00025240	0.00398442	0.00267541	0.00046087
1:Ins:T:2	0.00068811	0.00011238	0.03549950	0.00040805	0.05116077	0.00000000	0.00060418	0.00168215	0.00001672
1:Ins:T:3	0.00122134	0.00379898	0.02356535	0.00135944	0.03009032	0.00005347	0.00217613	0.00055821	0.00013604
1:Ins:T:4	0.00322889	0.01615289	0.01524484	0.00206205	0.00721013	0.00088683	0.00692394	0.00524579	0.00097566
1:Ins:T:5	0.00213152	0.90262567	0.00056989	0.02318340	0.00165472	0.00378162	0.02685779	0.24335350	0.00531558
2:Del:R:0	0.00013911	0.00018588	0.02897366	0.00972937	0.00654080	0.00136762	0.01376481	0.00068228	0.06835350
2:Del:R:1	0.00360228	0.00005962	0.01605282	0.00506555	0.00979515	0.00039273	0.00134605	0.00555631	0.22791825
2:Del:R:2	0.00179398	0.00010622	0.00195500	0.00014247	0.01196053	0.00115486	0.00054020	0.00177706	0.05116068
2:Del:R:3	0.00077739	0.00021902	0.00000000	0.00001854	0.00613817	0.00021040	0.00012770	0.00040412	0.00919404
2:Del:R:4	0.00095179	0.00000934	0.00038816	0.00009619	0.00327768	0.00012620	0.00015779	0.00000006	0.00281804
2:Del:R:5	0.00000000	0.00000000	0.02512534	0.00059759	0.00029362	0.00001341	0.00044102	0.00000000	0.00183404
3:Del:R:0	0.00000103	0.00011082	0.01973961	0.01208407	0.00099755	0.00188253	0.00207596	0.00109883	0.00450745
3:Del:R:1	0.00504297	0.00405698	0.00240258	0.00028155	0.00006892	0.00482767	0.00251160	0.00427508	0.08736170
3:Del:R:2	0.00237350	0.00055715	0.00007204	0.00048645	0.00003525	0.00022666	0.00145283	0.00115718	0.01868674
3:Del:R:3	0.00047255	0.00039651	0.00042616	0.00016545	0.00001116	0.00009058	0.00040348	0.00039182	0.00368248
3:Del:R:4	0.00000000	0.00000002	0.00701568	0.00008096	0.00000332	0.00000224	0.00016849	0.00001205	0.00026052
3:Del:R:5	0.00000000	0.00000001	0.01018678	0.00018691	0.00007113	0.00000607	0.00033966	0.00000001	0.00043639
4:Del:R:0	0.00000218	0.00004947	0.01293756	0.00638441	0.00050049	0.00244541	0.00125233	0.00030167	0.00750068
4:Del:R:1	0.00225131	0.00052985	0.00021769	0.00040299	0.00037553	0.00251112	0.00333281	0.00056164	0.05970944
4:Del:R:2	0.00053843	0.00000070	0.00000000	0.00003934	0.00000325	0.00021206	0.00001275	0.00056469	0.01234558
4:Del:R:3	0.00000543	0.00000000	0.00428392	0.00002730	0.00002058	0.00002943	0.00019762	0.00000000	0.00457870
4:Del:R:4	0.00000000	0.00000000	0.00497647	0.00011209	0.00007069	0.00013019	0.00010961	0.00000000	0.00074324
4:Del:R:5	0.00023551	0.00002189	0.00188784	0.00004438	0.00015895	0.00000007	0.00008637	0.00001598	0.00065614
5:Del:R:0	0.00000000	0.00000000	0.01650499	0.25713199	0.00191107	0.02483921	0.00332063	0.00217287	0.00370684
5:Del:R:1	0.00310160	0.00001935	0.00002278	0.00008617	0.00000000	0.00711018	0.00019074	0.00007787	0.01413208
5:Del:R:2	0.00045075	0.00009203	0.00036313	0.00038672	0.00002917	0.00033799	0.00026843	0.00001095	0.00226722
5:Del:R:3	0.00016206	0.00000127	0.00016339	0.00000915	0.00001745	0.00016331	0.00000585	0.00016685	0.00146267
5:Del:R:4	0.00004900	0.00001556	0.00009460	0.00012309	0.00006113	0.00004475	0.00001846	0.00000047	0.00013510
5:Del:R:5	0.00001553	0.00001353	0.00069936	0.00002710	0.00002376	0.00000000	0.00001787	0.00017100	0.00000000
2:Ins:R:0	0.00032401	0.00045951	0.00847128	0.00195271	0.00229698	0.00205318	0.00225005	0.02459790	0.00135711
2:Ins:R:1	0.00027005	0.00000829	0.02144634	0.00149143	0.00350188	0.00025343	0.00101217	0.00003787	0.00019482
2:Ins:R:2	0.00106905	0.00029743	0.00834443	0.00012195	0.00119606	0.00057951	0.00105866	0.00138168	0.00013018
2:Ins:R:3	0.00039993	0.00050472	0.00112878	0.00017769	0.00098598	0.00050415	0.00032021	0.00075531	0.00022123
2:Ins:R:4	0.00194546	0.00291461	0.00003738	0.00013539	0.00012547	0.00007062	0.00041994	0.00259697	0.00006330
2:Ins:R:5	0.01455196	0.01583190	0.00047817	0.00248594	0.00000214	0.00056537	0.00670360	0.00176062	0.00017882
3:Ins:R:0	0.00004956	0.00000053	0.00473634	0.00047870	0.00014308	0.00102515	0.00026987	0.00653452	0.00000000
3:Ins:R:1	0.00128901	0.00031290	0.00655164	0.00093310	0.00020663	0.00019175	0.00083134	0.00242306	0.00071577
3:Ins:R:2	0.00022943	0.00001175	0.00153127	0.00017935	0.00011931	0.00058633	0.00010237	0.00014394	0.00039736
3:Ins:R:3	0.00000064	0.00010538	0.00001669	0.00002470	0.00000000	0.00018831	0.00000299	0.00029767	0.00013061
3:Ins:R:4	0.00012056	0.00009060	0.00000003	0.00009995	0.00001529	0.00019428	0.00003612	0.00042087	0.00009203
3:Ins:R:5	0.00190342	0.00095783	0.00000838	0.00007327	0.00004331	0.00003709	0.00023315	0.00273591	0.00000000
4:Ins:R:0	0.00001126	0.00000045	0.00288623	0.00064571	0.00003925	0.00181454	0.00025837	0.00528765	0.00003411
4:Ins:R:1	0.00116996	0.00078848	0.00406998	0.00140386	0.00021885	0.00051681	0.00114256	0.00180600	0.00109965
4:Ins:R:2	0.00001460	0.00005258	0.00026427	0.00001272	0.00014608	0.00056959	0.00001087	0.00008249	0.00000299
4:Ins:R:3	0.00010130	0.00015172	0.00000000	0.00000049	0.00002093	0.00028849	0.00001893	0.00096451	0.00000528
4:Ins:R:4	0.00028447	0.00029346	0.00001567	0.00008232	0.00000000	0.00010734	0.00004226	0.00198175	0.00004674
4:Ins:R:5	0.00218608	0.00093471	0.00062614	0.00104980	0.00002390	0.00007510	0.00055181	0.00032132	0.00000000
5:Ins:R:0	0.00000000	0.00000002	0.00546912	0.00016518	0.00005565	0.00847367	0.00046612	0.00333342	0.00004852
5:Ins:R:1	0.00013007	0.00128365	0.00544439	0.01033798	0.00042774	0.00511406	0.00315228	0.02814072	0.00157954
5:Ins:R:2	0.00000173	0.00026593	0.00024377	0.00000829	0.00002429	0.00163552	0.00005517	0.00055238	0.00015529
5:Ins:R:3	0.00009058	0.00028577	0.00016018	0.00014974	0.00002075	0.00000957	0.00009166	0.00013474	0.00000000
5:Ins:R:4	0.00000276	0.00028484	0.00011071	0.00002040	0.00003060	0.00001631	0.00008665	0.00020286	0.00008403
