Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10
DEL,C,1,0,0.010550871373214,0.00822904277049144,0.00384402666570633,0.0179179421047333,0.00817721791559001,0.00907927689010827,0.0232449523762168,0.172614772855853,0.00705378580833619,0.0272324255858138
DEL,C,1,1,0.0413395719585336,0.00767125448039962,0.000413495201613038,0.0225039670297065,0.0160493827160494,0.0273491781916654,0.0165511922002422,0.13524240134039,0.0166054416499773,0.00189993666877771
DEL,C,1,2,0.0188547091103122,0.00198911180300008,2.26334735620692e-05,0.0253090527843047,0.0139691488528698,0.0173558972192388,0.0440599537865355,0.0680751227915419,0.00514788054482888,0
DEL,C,1,3,0.0155628309782831,0.0037568646265989,0.00376381738980903,0.0124794271196848,0.0188721843760603,0.00721881887639534,0.00902633551851336,0.0913307142642717,0.00760979010146387,0.00569981000633312
DEL,C,1,4,0.00117359754631835,0.00318311789845722,0.00277981704084681,0.003492782928445,0.00496616683632188,0.00143797370416936,0.00463762505294245,0.0524491176723824,0.00727508104938203,0.0329322355921469
DEL,C,1,5+,0.0016378719023612,0.00150197063998666,0.0120410244017168,0.00244832959381647,0.0047736734267742,0.00210574069643739,0.00286888120736302,0.0238586217327751,0.00678269913805504,0.206459784673844
DEL,T,1,0,0.0435977626078129,0.0233391399437524,0.00853743020776178,0.0760335010232285,0.364675175527889,0.153149289666441,0.0792705648289312,0.0218611664676909,0.0223784812507607,0.0595313489550348
DEL,T,1,1,0.0727009712571433,0.00727432240078379,2.4584777030316e-05,0.0855618480008474,0.0411329052801921,0.0132299943499086,0.154413764710305,0.0285182510670964,0.0194407869258772,0
DEL,T,1,2,0.262851876011917,0.0163672405425966,0.00467487850912906,0.086914225116919,0.024896249314854,0.241133237807765,0.0880882382973887,0.0139221477377953,0.0148378459121237,0.00379987333755541
DEL,T,1,3,0.0239367146250924,0.0104188917382591,0.0147697699851225,0.0819386122344914,0.0505275624461671,0.0270259522440025,0.190840535133806,0.0126837584619693,0.0215458579063257,0.149461684610513
DEL,T,1,4,0.0281938701328421,0.0209343517098028,0.0431958484429677,0.0410950046836678,0.0288412223005246,0.0379634601973969,0.00449170960517292,0.00797827507614577,0.0186745521537559,0.00253324889170361
DEL,T,1,5+,0.0289833756169685,0.0123824458150465,0.401257433128295,0.0205966188845259,0.0370016378252812,0.0198787139170404,0.0147611381878485,0.00648422472179951,0.0108877258594554,0.00253324889170361
INS,C,1,0,0.000640367815685695,0.000964380221202726,2.40743094563443e-05,0.000568763881106578,0.0018154738600475,0.00046543263920349,0.0013173826734729,0.00246424291167289,0.00215209621917081,0
INS,C,1,1,0.0014073914988509,0.00232605590201483,0.000284083438263237,0.00116467629181863,0.00287402448255161,0.000643588673348366,0.00187411078149413,0.000859351109090747,0.00419077862730562,0.00569981000633312
INS,C,1,2,0.00205874855306612,0.000729394492043523,2.69806812887963e-05,0.00262123206497531,0.00488802756244617,0.00315940638409423,0.00358839531188169,0.000759065989258276,0.000804961439304248,0
INS,C,1,3,0.000355486487088435,0.000175482255216184,0.00103415790477893,0.000402550178111404,0.000586941769112312,0.000453979751294176,0.00230978530302909,0.0051082732914665,0.000683249056729035,0.00379987333755541
INS,C,1,4,0.000514299159425315,0.00103175692833922,0.00213955073617081,0.00031227366662139,0.00130096181452771,0.000583461011824471,0.000635161360879092,0.00508188247045795,0.00158502716399084,0.0177327422419253
INS,C,1,5+,0.000577200665970225,0.00347833386154653,0.0219383237598433,0.00463074786504794,0.00123179469109702,0.00112270115088798,0.000411108634790801,0.013819223535862,0.00368456576341326,0.0348321722609246
INS,T,1,0,0.00801716681240457,0.00909279701514828,0.00162488415473576,0.00474203060596699,0.00343192911022368,0.00568540443964837,0.00196023937236823,0.0263819141064546,0.0038754329088153,0.00569981000633312
INS,T,1,1,0.0112316588944834,0.00195456042194716,5.46694305027791e-05,0.0112974824394698,0.0120479667475791,0.0146641504247749,0.010284523284169,0.0262017967530713,0.00420460957987099,0.000633312222925903
INS,T,1,2,0.0450558360273629,0.00151041922483659,0.000508014036277482,0.0231416733120817,0.0324499843395192,0.0261338995301771,0.0266169903000264,0.0821655120132667,0.00221571860097149,0.00443318556048132
INS,T,1,3,0.0175651513294343,0.000796952889176794,0.00384063452634381,0.0199191734501195,0.0220664330644951,0.0130006184559471,0.0217017411294211,0.0236623400015241,0.00195569669274262,0.00506649778340722
INS,T,1,4,0.0109804583236694,0.00166415924377232,0.0108194837305504,0.0144183611145271,0.0103196043118524,0.0110450378454318,0.0108442111375811,0.0078393933805883,0.00853093154231718,0.00696643445218493
INS,T,1,5+,0.00183054708833484,0.0355866506545291,0.398988322428511,0.160129831175929,0.00330289327382351,0.0021680953083881,0.00346911757262993,0.0755740745811199,0.0108849596689423,0.0278657378087397
DEL,repeats,2,0,0.0217909189993994,0.0016117113980373,0.000960724674258703,0.021985172181352,0.0106217210868374,0.0221473401304102,0.0196316952030519,0.011261952980134,0.00627925246467575,0.00253324889170361
DEL,repeats,2,1,0.0141104339338514,0.00417750725079355,0.00277758580354767,0.0221766764227961,0.0199126275676663,0.0300164285314344,0.0117345025511525,0.0157345373705571,0.408937008309636,0.0335655478150728
DEL,repeats,2,2,0.00364286266643751,0.00217389052971779,0.00159952544299652,0.0042358919561967,0.00337467047738366,0.00449653104750658,0.00305534516698736,0.0130350862666456,0.0333713223497129,0.00569981000633312
DEL,repeats,2,3,0.00025489161276289,0.000478813704828006,0.000851632813692163,0.00033920360903197,0.00148774567379219,0.000597140850160595,0.000701755632173498,0.00800862452030559,0.00648118437213008,0.00886637112096264
DEL,repeats,2,4,0.00109316359051642,0.000738055048556349,0.000443052920815595,0.000367182769978028,0.00158921253882494,0.00119364542877067,0.00100276173842421,0.00415061637411892,0.00176759573785366,0.00379987333755541
DEL,repeats,2,5+,0.0287477081810225,0.000379217304930503,1.52975605232174e-05,0.0159777403041606,0.0175669811813223,0.0240647444478945,0.0176208441844999,0.000348688722575401,0.00330836385363533,0
DEL,repeats,3,0,0.0175182163755621,0.00114758430128174,0.000109330627657591,0.0143693320067131,0.0125579111528724,0.0112413276187664,0.0143870263704435,0.000719479757745459,0.00881031678413756,0.00316656111462951
DEL,repeats,3,1,0.00580881921065418,0.005110545947553,0.00751784532888495,0.00631122436065104,0.00716728003549709,0.00376704571483836,0.00609263588709045,0.000656801557850164,0.00934695774367372,0.0221659278024066
DEL,repeats,3,2,0.000487622992613204,0.000849158481582782,0.00155294116019762,0.00114959377537114,0.000622667240884295,0.000498836895605654,0.00242995096589811,0.000186385173372849,0.026859709881939,0.0151994933502217
DEL,repeats,3,3,0.000327510066862526,0.000352387748740419,0.000751869336372559,0.000481285285711169,0.000315330305640383,0.000406895656555888,0.00129281678672874,0.000154056417637382,0.00096263429854941,0.00443318556048132
DEL,repeats,3,4,0.00555606672447528,9.12083783798352e-05,1.16913541135461e-05,0.00488857146142196,0.003148246026153,0.00414149152231786,0.0056868547940032,0.000118098924013239,0.00102072429932394,0.00126662444585181
DEL,repeats,3,5+,0.0106932421314151,0.000306874404548888,1.45565592061617e-05,0.00715339710512737,0.00342458825985958,0.0111013478776526,0.00896033319629712,0.000239826585915153,0.00102902287086316,0.000633312222925903
DEL,repeats,4,0,0.010954914635637,0.00212607577890047,4.64937159712641e-05,0.00878045089029909,0.00846742619998434,0.0141952182920436,0.0100211059443822,0.000485261221294622,0.0114769244387399,0
DEL,repeats,4,1,0.00193986624363038,0.00347794019988686,0.00191619647251428,0.00257635611386417,0.0045146229739253,0.00159036074051828,0.00240420118099761,0.00168835277402167,0.013449218274561,0.00696643445218493
DEL,repeats,4,2,0.000420722857290379,0.00039962714790129,0.000313245956763364,7.72268559550169e-05,0.000307989455276277,0.000255463027532743,0.000294790640929905,8.93989061664462e-05,0.00345220576031512,0.000633312222925903
DEL,repeats,4,3,0.00490463976416255,0.000221268134402874,1.00117511282198e-05,0.00322193153525547,0.00372784694490121,0.0035564398316171,0.00323677755944723,0.000145149515546998,0.00441484005886453,0.00189993666877771
DEL,repeats,4,4,0.00547690505964815,0.000198738574803074,1.27616893492933e-05,0.00335734630249049,0.0050010766580534,0.00435782384949378,0.00438279097478918,0.000250053029055964,0.000948803345984045,0.000633312222925903
DEL,repeats,4,5+,0.00231762481338742,0.000164671700408215,0.000109165960698245,0.00131047395081097,0.000482538563933913,0.000709760914602178,0.00121497548294905,0.000214755305957035,0.000589198579284553,0.00189993666877771
