Signature,NumberOfPostSamples
low confidence hdp.1,3525
low confidence hdp.2,2553
low confidence hdp.3,2135
low confidence hdp.4,2039
low confidence hdp.5,2000
low confidence hdp.6,1858
low confidence hdp.7,1000
low confidence hdp.8,802
low confidence hdp.9,801
low confidence hdp.10,800
low confidence hdp.11,771
low confidence hdp.12,658
low confidence hdp.13,600
low confidence hdp.14,516
low confidence hdp.15,400
low confidence hdp.16,274
low confidence hdp.17,204
low confidence hdp.18,202
low confidence hdp.19,200
low confidence hdp.20,194
low confidence hdp.21,193
low confidence hdp.22,156
low confidence hdp.23,59
low confidence hdp.24,55
low confidence hdp.25,31
low confidence hdp.26,30
low confidence hdp.27,25
low confidence hdp.28,23
low confidence hdp.29,23
low confidence hdp.30,8
low confidence hdp.31,8
low confidence hdp.32,7
low confidence hdp.33,4
low confidence hdp.34,4
low confidence hdp.35,4
low confidence hdp.36,4
low confidence hdp.37,2
low confidence hdp.38,2
low confidence hdp.39,2
low confidence hdp.40,2
low confidence hdp.41,2
low confidence hdp.42,2
low confidence hdp.43,2
low confidence hdp.44,2
low confidence hdp.45,2
low confidence hdp.46,2
low confidence hdp.47,2
low confidence hdp.48,2
low confidence hdp.49,2
low confidence hdp.50,2
low confidence hdp.51,2
low confidence hdp.52,2
low confidence hdp.53,2
low confidence hdp.54,2
low confidence hdp.55,2
