Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12,W.13,W.14
DEL,C,1,0,0.0263500288425065,4.59576801522274e-14,0.0215811996289543,3.91425214887354e-136,0.0848172406331331,0.00315476929512281,1.16023644573122e-32,7.29922180649063e-34,7.81889267777218e-287,0.540509834835819,8.77364235517773e-56,0.000292916890594121,4.15495528014398e-293,2.27433097521248e-105
DEL,C,1,1,0,0,0.000680150896839868,1.08120775157488e-101,0.253173154903375,2.97222735968879e-182,2.8711990888355e-230,0.0182563943571288,0.000497977904738288,0.1287489207158,4.22510574425529e-89,0.0158491864655753,0,4.07991496942602e-187
DEL,C,1,2,0,0,0.00545521537769468,0,0.237497894225241,0,0,0.0216701290717845,0,0,7.09694611839022e-11,0,0,0
DEL,C,1,3,0.0186389943410716,0,0,1.24997788558449e-163,0.0751155370407401,0.0016084941399595,0.00032466441020819,0.0166796449603234,0.00160607349253026,0.0118634649816557,0.0030981766153961,0.00484151084142105,0,1.76150178645425e-110
DEL,C,1,4,0.0248364706485735,0.00207114889293235,0.00201314400142737,4.74166302275405e-115,0.0503174700987348,0.00264980836441109,0.000884726295172873,0,0.000345434039312585,0.0145300667846156,8.38281784065112e-278,0,0,0.00293144286413639
DEL,C,1,5+,0.110573172743435,0.00474656298611733,0.000784175332955478,5.61780058008966e-182,0.0274807326612385,0.0102697561621905,0.00177436740619933,9.27807880679297e-135,0.00129417023645661,5.0553706307418e-105,1.04407231814283e-299,0,0,1.08984910123484e-135
DEL,T,1,0,0.0543347141655363,0.0233078657160652,4.52926073868044e-182,1.55766252977746e-08,0.0259367453143105,0.00579289735212847,3.20532521954415e-82,0.165884168163743,6.52258770714057e-37,0.141415110989358,0.043763514490955,0.0307457991459155,0,0.0183806076785929
DEL,T,1,1,0,0,0,0,5.39051930268708e-32,0,0,3.01159855673821e-47,0,0,0.767445397004819,1.98792117051213e-251,0,0
DEL,T,1,2,0.0230978817543332,0.0107925714422911,0.0109293704156605,8.5046990281256e-15,0.00665948212086548,0.00385547529598833,0,0.19738320052113,0.00062052116774827,0.103820489320087,0.00244244229027786,1.13278860867899e-79,0,0.0462934336269889
DEL,T,1,3,0.104527985976323,4.83362374818394e-189,7.64401431491592e-25,0.98825033229446,7.19699112328753e-30,0.00892851759119977,2.63251557659923e-180,0.0352852084394819,2.70057539209152e-26,7.49116638709606e-18,7.7777974751917e-29,1.80274616777293e-69,2.25245900899127e-306,0.00218501522354145
DEL,T,1,4,2.10938895032484e-49,4.75891303520817e-226,1.45762643025188e-45,6.1589373746662e-98,1.53546301229214e-44,0.028217386571863,5.4630516891572e-116,1.94389686810073e-32,1.9356165391391e-31,6.19504276841442e-67,1.43021055517773e-65,2.14036395649221e-99,1.65411955995383e-285,0.893848864951772
DEL,T,1,5+,2.2089338411516e-10,2.2969178003685e-216,4.70233049480989e-66,7.39732894264474e-109,1.25941674717255e-30,0.885795947353128,1.09845523356156e-140,0.00876559994775987,1.40736649864415e-38,2.77391786637026e-108,2.78590147247534e-52,2.31249734979544e-55,3.44039220048524e-134,7.64651424456074e-55
INS,C,1,0,0,0.728827315726194,0,0,0,0,0,0,0,0,0,0,0,0
INS,C,1,1,0.00102802339398322,0.0221795695301002,0.00120173877975337,0,0,0.000185434177629803,0,0,0,0,0,0,0.168867739503394,2.12375476528375e-294
INS,C,1,2,2.89084755724122e-05,0.000251278181372572,0,1.91441980454716e-223,0.000763158806141844,1.45353016590717e-05,0,0.0035042720699986,0,0,0.000533060050438137,4.13904531505747e-05,0.10060527710758,5.05188572218652e-199
INS,C,1,3,0.00471040974900703,0.00175246896276715,0,0,0.00685696173803877,0.000272002109349292,0.000245774158633668,0,0.000699205673280908,0,0,0,0.0382933362461083,1.38177197553259e-196
INS,C,1,4,0.0209192259220065,0.00224176709760109,0.000234480727636141,0,0.00657442250200689,0.00159760572628511,0,0,0.00160410315870434,0,0,4.15368872407332e-05,0.0103185183406614,0.00327937929808971
INS,C,1,5+,0.126310012495313,0,0,0,0.00684958446447892,0.00632943705560706,0,0,0.0208975722598471,0,0,0,1.13366150300736e-308,8.18636054946734e-123
INS,T,1,0,0.01307408352128,0.0442615950136326,0.00697843700656615,1.04818648001405e-88,0.0215605734392965,0.000800596400619062,0.000933370920946342,3.22431844867097e-215,0.00217591903094711,0.0151384711560852,0.0424276169846815,0.00188820132408016,0.000299352233159881,1.84567214062458e-88
INS,T,1,1,0,0,8.55792609867357e-195,0,0.0518651777006748,0,3.34876319935069e-99,0.0122911142974714,0,0.00784329877774753,8.69099180339816e-14,0.00182078305004329,0.31905891612692,0
INS,T,1,2,0.00227452428785159,0.00138613505372159,0,5.17154253089577e-195,0.0446015206575776,0.000410155071637899,0,0.0445770229985711,2.84987582686227e-05,0,4.87348201513644e-58,0,0.169806446123872,0.00558478017564814
INS,T,1,3,0.0110591808517277,0,7.55438325321512e-05,3.43986211154517e-108,0.028854321713229,0.000705050268361761,4.01435271116252e-68,0.025497898008977,0.00353838738162528,2.17783248244083e-261,0.00793063677401065,0,0.120476064496482,5.23210399819673e-115
INS,T,1,4,0.0454205445488305,0.00307713254660705,0.000772092201465636,1.80546405134765e-79,0.0075375990954653,0.00186403577789456,0.000359630917478431,0.0126564739698874,0.0147486299893516,6.34383591976515e-209,0.0188345196577741,3.15410079520435e-68,0.0578786040970632,2.77400787300597e-168
INS,T,1,5+,2.13082974057147e-27,5.84900252963783e-186,3.23948596329442e-27,1.68253507524396e-82,1.08405612928654e-29,0.00189079998889155,5.0475723924822e-74,7.41038044103383e-16,0.922087851691702,1.82741593789388e-43,7.47259857061471e-51,6.05650709094372e-18,5.0687448981064e-145,5.11935832886239e-47
DEL,repeats,2,0,0.000460730094300678,0,0.000668033857152702,4.443977016094e-41,0.00622926256485186,7.07789548349985e-05,0.0747312203498192,0.0387664703445977,0.000179806606662387,0.0148037358218576,0.0281437425990529,0.0071148481933517,0,1.66351415216416e-144
DEL,repeats,2,1,0.0244148841544399,0.00498302180311048,0.000857538097175632,1.04966754062781e-128,0.00895290620312806,0.0017945543264797,0.236965007057318,0.025953218445013,0.000462703561765098,1.59090319536441e-151,0.00422774811006866,0.006420548381868,0.000830925669425826,0.0016684522029654
DEL,repeats,2,2,0.00915175839860602,0.0042636489639829,0.00165360430187649,4.93037055930385e-149,0.0148069179236693,0.00138957661632893,0.052753581866799,0.00188420933975498,0.000278920260838299,7.77528161656186e-301,0.0024906381360476,0,0.000564996260224321,5.20700258323211e-83
DEL,repeats,2,3,0.00534125744447733,0.000252881222115774,0.000215956106379561,0,0.00789703092324014,0.00047746206485673,0.00997928322834174,0,0.000291886723047017,0,0,0,0,0
DEL,repeats,2,4,0.0078327096816776,2.83249412275871e-05,0.000249048584490038,1.97605886584624e-241,0.00315723527223737,0.000498961938176532,0.0033468917703619,0.00111701546605527,5.49925187825425e-39,0.000111601488746103,0,3.54290710193576e-51,0,8.89953812186056e-23
DEL,repeats,2,5+,0,0,0,0,0,0,9.22978802016875e-06,0.0449968691629339,0,0,0,0,0.00388821641120924,0
DEL,repeats,3,0,0,0.00139794793918028,0.000603664821799012,1.74905692606913e-91,0.000572576213571152,2.83584070329014e-06,0.0045598892089279,0.0291559445039321,8.45689353737224e-05,0.00252352569810141,0.00544317885662973,0.0131654127746176,0.000512746030977873,0
DEL,repeats,3,1,0.0383155930432435,0.00414205933882193,0.00497459144073095,2.56682380052724e-55,7.10208940271494e-179,0.00374734438952421,0.104844608329375,0.00261733551208141,0.00355322781604808,0.000627732489189099,0.000467074066385162,5.31516598441859e-184,1.24542696262026e-224,8.99083852863829e-73
DEL,repeats,3,2,0.0137340223230195,0.00185771856500594,0.00033995472083643,4.37339628708466e-137,0,0.00165754987961653,0.0190997674094675,6.40253439395585e-235,0.000327533945661728,2.05854999692922e-114,0.000105524606174127,0.000195960626946823,3.8829690686281e-08,0.00426285898006463
DEL,repeats,3,3,0.00235489459421322,0.000604137917579541,0,0,1.09676808466709e-178,0.000327049537361885,0.00452062799463024,0.00103489974845306,0.000251042761599106,8.08974554078232e-262,0,0.000176389418378438,5.50434165428868e-05,4.89348645535067e-31
DEL,repeats,3,4,0,0,0,0,0,0,0.000218385263798131,0.0120566552037957,0,0,0,0,0.00111000825763192,0
DEL,repeats,3,5+,0,0,0,0,0,0,0,0.0170546166068589,0,0,4.76711740362089e-137,0,0.000964777166947187,0
DEL,repeats,4,0,9.64533779945079e-158,0,0.00143383562272577,6.9302742628708e-15,4.60697505451809e-05,5.33273371681798e-06,0.00868521150778306,0.0186802391257757,2.5803168595279e-05,0.00220882643229005,0.00204790377072212,0.00825629477320856,2.02833101859225e-05,9.86512444746542e-270
DEL,repeats,4,1,0.011977926128478,2.60649535728304e-123,0.00250496603008574,4.68894867340825e-155,5.51131086823733e-05,0.00140417695269171,0.068772702121796,2.20837915836449e-105,0.000335685759833283,0.00166975719138596,0,3.63573485051638e-07,0.000386536445235142,0.00481816982296742
DEL,repeats,4,2,0.00374414081164241,0.000436616625496041,0.000532635325927303,0,0,0.000325489715936211,0.0124264552265304,0,0,0.000111261420685311,0,0,3.14595434588029e-210,1.3082898406523e-139
DEL,repeats,4,3,8.04419106608707e-06,0.00012713377873675,0.000181516738888992,0,0,2.28505236808921e-06,0.00373352246266898,0.00724622816448079,0,0,0,0,7.27242141381849e-05,7.34865544087561e-298
DEL,repeats,4,4,0,0,0,0,0,0,0.0005331309948152,0.00910886593325636,0,0,0,0.0001933840934484,0.000706312562316366,0
DEL,repeats,4,5+,0.00213046270702016,0,0,0,0,0.000135236272968859,0.000134565394403334,0.00350792995082986,5.44183297631624e-06,0,0,7.07165497698184e-189,5.28387311861357e-05,0
DEL,repeats,5+,0,0,0.0023181159566371,6.17010948045322e-23,1.11253692927175e-308,0.00152056462286383,0,0.0012596857918012,0.0154385340546476,0,1.06022560602342e-145,0.00923793777768321,0.33115362116263,1.88931234212724e-296,0
DEL,repeats,5+,1,0.0191218478412506,3.1940318753041e-212,0.00840288019331627,0,0,0.002223832667013,0.00989284932577049,0,6.78702565653766e-123,0,0.00102137907541142,0,0.000132338419563965,0
DEL,repeats,5+,2,0.00289084938827575,0.00011732105264818,0.000489881426931797,1.00556590464147e-224,0,0.000236728204237335,0.00308804277163173,0.000611328379887146,6.52009875188173e-05,0,0,0.000444180637139587,0,0.000529137564249905
DEL,repeats,5+,3,0.000787984209301704,0.000111866177868732,0.000111783431844786,1.78226362951375e-216,0,9.75420616139784e-05,0.00144363925274138,0.00043957636609075,2.32985478134529e-05,0,7.24417777152993e-184,0,1.26916387426225e-05,1.17706544608296e-38
DEL,repeats,5+,4,0.000593726851454547,0,7.38826185845544e-05,0,3.64955444348363e-05,5.76095118967642e-05,0,0.000118299402356236,1.05792454523812e-96,0,4.28287253683735e-05,7.68533246073481e-05,0,1.06212341247423e-65
DEL,repeats,5+,5+,0.000312522352026198,0.000109570684579903,4.15516960740936e-05,0.000161879957223389,0,1.07907155846417e-05,0.000384376951316442,0.00122159324245306,7.03761643770917e-06,3.48753397568909e-05,0,2.26811496989052e-307,3.65659091002484e-05,0
INS,repeats,2,0,0.00338121814529049,0.0333026898734068,0.00222014806655353,2.44192994056127e-170,0.00303443450946886,0.00019864603884588,1.57674850087933e-287,0.00949541602156267,0.000342167225071183,5.07509021322905e-19,0.0118316991388112,0.00194219555476063,0,1.31501524887318e-23
INS,repeats,2,1,0.0010752407053646,0,0,7.11844226686285e-176,0.00257902681057123,0.000204793777307424,0,0.033209176347829,0,0.00250294748450466,0.00213418366312328,0.00176847479099101,0,0.000441833820992651
INS,repeats,2,2,0.00786900852289688,0.00106633511543989,0.000654533134170984,0.00141205619096643,0.00102330745483926,0.000714851519396986,0.000241462807676565,0.0120390257575935,8.90584379468992e-07,1.70660994214521e-158,8.93476747597395e-05,8.11014410273536e-05,5.02121200223544e-05,0.00224283616260397
INS,repeats,2,3,0.00266273174659739,0.00163506207546849,0.00050979711198099,0.00156356661206349,0.00145088781795405,0.000277795411021845,1.1125369292593e-308,0.00160897255630701,0.000555363420262511,2.67163528964004e-06,0.000305609340084619,1.3445349465839e-05,0.000150550715658945,3.77600369612514e-49
INS,repeats,2,4,0.022551918764182,0.00262088628070046,7.10932286675635e-82,0,0.000178942336769327,0.00143851117795133,2.15693115286924e-05,0,0.00206624736943326,6.54831819705667e-188,0,1.8388183822643e-267,0.000318342118512867,6.73379734978549e-49
INS,repeats,2,5+,0.129769980133323,0,0.000282275226475132,5.2823729184902e-176,0,0.00790639769464733,0,0.000401304967239497,0.0144526330681154,5.15124263717964e-176,8.25613054723281e-79,0.000585258372810667,1.16670987963082e-265,1.94434105344639e-136
INS,repeats,3,0,0.000495913566826613,0.0105554942276424,0.000945974110983835,8.52507733810096e-183,0.000294574281015882,2.84785875172403e-05,0,0.00680789485450455,4.9610915129129e-06,0,7.26327437636309e-05,0.00073977644869202,0,0
