Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3200
low confidence hdp.3,3200
low confidence hdp.4,3037
low confidence hdp.5,2082
low confidence hdp.6,1993
low confidence hdp.7,1595
low confidence hdp.8,1200
low confidence hdp.9,1144
low confidence hdp.10,956
low confidence hdp.11,828
low confidence hdp.12,800
low confidence hdp.13,797
low confidence hdp.14,784
low confidence hdp.15,600
low confidence hdp.16,600
low confidence hdp.17,592
low confidence hdp.18,56
low confidence hdp.19,27
low confidence hdp.20,14
low confidence hdp.21,3
low confidence hdp.22,2
low confidence hdp.23,2
low confidence hdp.24,2
