num.sigs,10
likelihood,21524.14
evidence,-49570.79
relevance,0.00453926463912846,0.00453926463912846,0.500308158792416,0.00453926463912846,0.00453926463912846,0.00453926463912846,0.00453926463912846,0.00453926463912846,0.00453926463912846,0.00453926463912846,3.21710503837888,0.595844089189874,0.00453926463912846,0.00453926463912846,0.213856024588865,6.46861845656555,0.269531301406473,0.450608888843072,0.398804978070135,0.00453926463912846,0.534837016556429,0.426013619980982,0.00453926463912846,0.00453926463912846,0.00453926463912846,0.00453926463912846
error,1956525
