Signature,NumberOfPostSamples
low confidence hdp.1,3506
low confidence hdp.2,3390
low confidence hdp.3,3294
low confidence hdp.4,2585
low confidence hdp.5,1600
low confidence hdp.6,1352
low confidence hdp.7,1137
low confidence hdp.8,987
low confidence hdp.9,830
low confidence hdp.10,828
low confidence hdp.11,646
low confidence hdp.12,580
low confidence hdp.13,571
low confidence hdp.14,469
low confidence hdp.15,420
low confidence hdp.16,399
low confidence hdp.17,396
low confidence hdp.18,374
low confidence hdp.19,338
low confidence hdp.20,270
low confidence hdp.21,245
low confidence hdp.22,244
low confidence hdp.23,219
low confidence hdp.24,201
low confidence hdp.25,200
low confidence hdp.26,200
low confidence hdp.27,199
low confidence hdp.28,199
low confidence hdp.29,198
low confidence hdp.30,198
low confidence hdp.31,198
low confidence hdp.32,197
low confidence hdp.33,190
low confidence hdp.34,190
low confidence hdp.35,184
low confidence hdp.36,170
low confidence hdp.37,169
low confidence hdp.38,150
low confidence hdp.39,148
low confidence hdp.40,142
low confidence hdp.41,139
low confidence hdp.42,137
low confidence hdp.43,132
low confidence hdp.44,109
low confidence hdp.45,94
low confidence hdp.46,84
low confidence hdp.47,70
low confidence hdp.48,63
low confidence hdp.49,63
low confidence hdp.50,57
low confidence hdp.51,50
low confidence hdp.52,49
low confidence hdp.53,47
low confidence hdp.54,36
low confidence hdp.55,34
low confidence hdp.56,27
low confidence hdp.57,21
low confidence hdp.58,19
low confidence hdp.59,12
low confidence hdp.60,10
low confidence hdp.61,9
low confidence hdp.62,8
low confidence hdp.63,8
low confidence hdp.64,8
low confidence hdp.65,5
low confidence hdp.66,3
low confidence hdp.67,3
low confidence hdp.68,3
low confidence hdp.69,2
low confidence hdp.70,2
low confidence hdp.71,2
low confidence hdp.72,2
low confidence hdp.73,2
low confidence hdp.74,2
low confidence hdp.75,2
