Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.967),ID83D (ID8 0.998),ID83E (ID3 0.989),ID83F (ID6 0.998),ID83G (ID9 0.997),ID83H (ID4 0.999),ID83I (ID11 0.993),ID83J (ID14 0.999)
DEL,C,1,0,0.00353504,0,0.00469232,0.03214438,0.09084901,0.02675685,0.35094526,0.00917059,0.00893165,0.00773755
DEL,C,1,1,1.298e-05,0.00019493,0.01117846,0.02043772,0.21555164,0.00110518,0.10793979,0.00131099,0.00141228,0.00019721
DEL,C,1,2,0,0,0.01439641,0.00013765,0.19565183,0.00563771,0.00078032,4.813e-05,0.00670864,2e-08
DEL,C,1,3,0.00243294,0.00187745,0.01015148,0.00442026,0.07114205,9.6e-05,0.01206167,0.00064502,0.00177547,0.00026028
DEL,C,1,4,0.00383555,0.00042395,0.00022605,0.00027729,0.04475176,0.00184179,0.0148341,0.00075097,0.00221291,0.0017242
DEL,C,1,5+,0.01459256,0.00342438,0.00114212,0.00029414,0.02449944,0.00108802,0.00097015,0.00201148,0.00282548,0.00200784
DEL,T,1,0,0.00779552,0.00114443,0.11310692,0.03469666,0.03303328,0.00146648,0.10555571,0.00388771,0.00351219,0.01761737
DEL,T,1,1,0,0,0.17265136,0.01186606,0.00504858,2e-08,0.02164416,0.01325275,0.00964793,1.048e-05
DEL,T,1,2,0.00701323,0.00079401,0.12758783,0.0060158,0.01527863,0.01186564,0.08269375,0.0002707,0.00258268,0.01049741
DEL,T,1,3,0.02023417,0.00217968,0.10056407,0.00626903,0.01445417,0.02310885,0.11118111,0.00030015,0.00269626,0.01660003
DEL,T,1,4,0.04738497,0.00427042,0.05353774,0.00039858,0.01120072,0.01814877,0.09166711,0.00033503,0.00338681,0.01222103
DEL,T,1,5+,0.82005447,5.846e-05,0.01010231,0.00337955,0.00584964,0.00292672,0.01334377,0.00632001,0.02724621,0.02471934
INS,C,1,0,0,0,1.22e-06,4.14e-06,5.4e-07,4.93e-06,1.81e-06,7.4e-07,0.00358823,0.46448751
INS,C,1,1,0.00014164,0,3.417e-05,0.000228,0.00629301,0.00145541,0,3.41e-05,0.13052864,0.01167984
INS,C,1,2,6.84e-06,0,0.00211432,0.00011393,0.00486161,1.86e-06,0,2.42e-06,0.07957586,9.24e-05
INS,C,1,3,0.00046627,0.00041481,1.09e-06,0,0.00709449,8.824e-05,0,0.00015835,0.02899644,0.00160414
INS,C,1,4,0.00287549,0.00167562,0,0,0.00753544,0.00023021,8.09e-06,3.29e-06,0.00974278,0.00138515
INS,C,1,5+,0.00897475,0.02485902,2.5e-05,1.432e-05,0.00741444,0.00026004,0.0006434,0.00035131,0.00382551,0.00253641
INS,T,1,0,0.00122053,0.00195385,0.01024071,0.00384547,0.01512865,0.00581791,0.01519684,0.0014143,0.01569032,0.03368857
INS,T,1,1,0,0,0.00725724,0.00194398,0.0562082,4.285e-05,0.00726062,0.00025573,0.2644361,0.00105247
INS,T,1,2,0.00062908,3.7e-07,0.02665536,9.524e-05,0.05228196,3.64e-06,6.33e-06,0,0.13912505,0.00081938
INS,T,1,3,0.00109431,0.00425879,0.01810793,0.00019428,0.03178647,0.00046138,0.00026624,8.879e-05,0.09246956,0.0004992
