"","min","lower-hinge","median","upper-hinge","max"
"averCosSim",0.994927937954778,0.994935741394992,0.994965005505627,0.996313057911792,0.996330315824692
"falseNeg",1,1,2,2,2
"falsePos",1,1,1,1,1
"truePos",9,9,9,10,10
"TPR",0.818181818181818,0.818181818181818,0.818181818181818,0.909090909090909,0.909090909090909
"PPV",0.9,0.9,0.9,0.909090909090909,0.909090909090909
