"","mean","stdev"
"averCosSim",0.995494411718376,0.000755346486409255
"falseNeg",1.6,0.547722557505166
"falsePos",1,0
"truePos",9.4,0.547722557505166
"TPR",0.854545454545455,0.0497929597731969
"PPV",0.903636363636364,0.00497929597731966
