Type,Subtype,Indel_size,Repeat_MH_size,W.1 (False Positive) (ID9 0.898),W.2 (False Positive) (ID5 0.489),W.3 (ID13 0.978),W.4 (False Positive) (ID14 0.887),W.5 (False Positive) (ID5 0.716),W.6 (ID2 0.999),W.7 (ID8 0.982),W.8 (ID1 1),W.9 (ID6 0.99),W.10 (ID3 0.975),W.11 (False Positive) (ID5 0.391),W.12 (False Positive) (ID5 0.255),W.13 (ID11 0.998),W.14 (ID4 0.997),W.15 (False Positive) (ID5 0.326)
DEL,C,1,0,0.608035059825163,2.32697805624876e-249,1.21971384124313e-85,0.000756644485393551,7.69668987831221e-61,0.00318384241771466,1.23246322151229e-25,0,0.0220822864413928,0.0845341430655274,2.11181332566517e-194,1.73704867354087e-153,0,2.18951516322287e-109,0.025382001198383
DEL,C,1,1,0.144233707591464,1.66880625833399e-308,1.12888068392332e-171,0,0.0198494914139792,0,0.0159611054565355,0.000505204375288965,0.000604420719392908,0.250712870098492,1.65011648550992e-109,0,0,0,0
DEL,C,1,2,0,0,2.87664751884776e-18,0,0.0235532167972639,0,0,0,0.00535522605284018,0.23539164888879,0,0,0,0,0
DEL,C,1,3,0.0133376866011592,1.57842682454735e-149,0.00326441115834483,0,0.0192092176283153,0.0016211444727577,0.00477562917203985,0.00156142463819848,0,0.0744704593244865,2.63930188253953e-247,1.13732560718547e-200,0,0.000250860758703189,0.0187991347416784
DEL,C,1,4,0.0162859408689198,0,0,0.00210919483027469,0,0.00267508813069541,0,0.000275326871331939,0.00198641507867942,0.0493901390053028,1.0228930644332e-281,0.00262005741405205,0,0.000881860777883114,0.0249455998382474
DEL,C,1,5+,0,0,0,0.00507466840218058,6.04060830962636e-265,0.0103349180155423,0,0.000694445646503702,0.000646869292228722,0.0269965213151385,0,6.94278853354331e-251,0,0.00172821406234487,0.113799622258846
DEL,T,1,0,0.155933095545882,0,0.0404890154116212,0.0235219626081903,0.196675798893586,0.00579818083459143,0.0293397184299388,1.17865203151757e-176,1.59174561345164e-279,0.0261370888003249,0.0241534672159024,0.0169992517958984,0,0,0.0526961687301945
DEL,T,1,1,0,0,0.767823748732473,0,5.07688632036988e-19,0,0,0,0,5.73177004986723e-65,0,0,0,0,0
DEL,T,1,2,8.9870538279113e-59,0.971116326124419,2.68497665042829e-05,5.95000257907948e-166,0.114689387282161,0.00311319941410552,3.08453220965247e-140,1.41837313754833e-157,0.000856722961554538,0.0133011035461712,4.83184505237266e-38,0.0406955248338682,0,2.02995802911759e-293,0.0173713629012776
DEL,T,1,3,1.02101200984167e-80,3.9108820685038e-207,1.14882239517082e-74,0,8.94358594823947e-16,0.0088955506742009,6.83856254874863e-150,9.39594287875132e-46,4.03150284343623e-59,6.20031678702757e-42,0.959298753722069,2.92300849519285e-11,0,1.39896394076938e-302,0.102551524179805
DEL,T,1,4,4.27149497929337e-125,2.36268939490711e-253,1.70846110460717e-99,0,2.22109082954282e-32,0.0283448316749539,1.56411620233425e-178,1.80003478581316e-45,2.0882089778343e-78,5.8078076051208e-73,4.07610907976861e-125,0.904336484270313,0,3.95476909642632e-231,8.85339334991151e-115
DEL,T,1,5+,2.76514210948571e-212,1.93381210137537e-276,1.19640319602743e-117,0,7.38832374029172e-56,0.886049883708603,1.89641851487685e-96,3.72035918133762e-70,5.7616148582549e-113,3.24243942114725e-52,1.56529090830733e-165,6.86659795155519e-114,8.23340451523674e-226,1.27389401026996e-245,2.01916433744385e-81
INS,C,1,0,0,0,0,0.737386039248736,0,0,0,0,0,0,0,0,0,0,0
INS,C,1,1,0,0,0,0.0224239454735747,0,0.000187295072055779,0,0,0.00121527894997157,0,0,0,0.168080508333052,0,0.00097826754777927
INS,C,1,2,0,0,0.000570376969863056,0.000258748955991651,0.00397073951426622,1.45961017649814e-05,8.03376244614261e-05,0,0,0.000830524187919768,1.1467908161944e-284,0,0.100722119648954,0,3.00526151956798e-05
