"ex.sig","gt.sig","sim"
"SBS96B","SBS3",0.925055913589467
"SBS96C","SBS40",0.923939452558633
"SBS96D","SBS4",0.984039258665019
"SBS96E","SBS7a",0.922699534357178
"SBS96F","SBS1",0.99919521975541
"SBS96G","SBS12",0.944421511606697
"SBS96H","SBS17b",0.999575570724524
"SBS96I","SBS2",0.996877242316377
"SBS96J","SBS18",0.98810019691344
"SBS96K","SBS7b",0.97716478932647
"SBS96L","SBS44",0.994563535987484
"SBS96M","SBS17a",0.999681998015195
"SBS96N","SBS13",0.998608518083961
"SBS96O","SBS7c",0.996100924634469
"SBS96P","SBS7d",0.964453514848487
"SBS96Q","SBS22",0.980807301887738
"SBS96R","SBS28",0.943652699239627
