Data_set,Noise_level,Approach,Run,cpu_time
SBS_set2,Realistic,mSigHdp_ds_1k,seed.1076753,2336907.133
SBS_set2,Realistic,mSigHdp_ds_1k,seed.145879,2329222.449
SBS_set2,Realistic,mSigHdp_ds_1k,seed.200437,2300224.6410000003
SBS_set2,Realistic,mSigHdp_ds_1k,seed.310111,2300023.205
SBS_set2,Realistic,mSigHdp_ds_1k,seed.528401,2295492.4149999996
SBS_set2,Realistic,mSigHdp_ds_3k,seed.1076753,2989747.2260000003
SBS_set2,Realistic,mSigHdp_ds_3k,seed.145879,3014169.645
SBS_set2,Realistic,mSigHdp_ds_3k,seed.200437,3007256.781
SBS_set2,Realistic,mSigHdp_ds_3k,seed.310111,3015428.6879999996
SBS_set2,Realistic,mSigHdp_ds_3k,seed.528401,3015978.896
SBS_set2,Realistic,mSigHdp_ds_5k,seed.1076753,4248291.104
SBS_set2,Realistic,mSigHdp_ds_5k,seed.145879,4281006.614000001
SBS_set2,Realistic,mSigHdp_ds_5k,seed.200437,4250514.221
SBS_set2,Realistic,mSigHdp_ds_5k,seed.310111,4256412.336999999
SBS_set2,Realistic,mSigHdp_ds_5k,seed.528401,4262815.372
