"ex.sig","ref.sig","sim"
"hdp.1","SBS1",0.99638226225114
"hdp.13","SBS2",0.998913106466398
"hdp.12","SBS3",0.974915087085554
"hdp.25","SBS4",0.992376699930137
"hdp.7","SBS5",0.987945100075337
"hdp.3","SBS7c",0.996950873985697
"hdp.10","SBS7d",0.98109582645806
"hdp.16","SBS12",0.99002733432504
"hdp.11","SBS13",0.993910723798267
"hdp.21","SBS16",0.990265491180251
"hdp.9","SBS17a",0.998309998687253
"hdp.2","SBS17b",0.997158418121406
"hdp.20","SBS18",0.993104755125225
"hdp.15","SBS22",0.98904181439222
"hdp.4","SBS28",0.983080870423305
"hdp.22","SBS29",0.95363567190596
"hdp.17","SBS38",0.991339815666271
"hdp.18","SBS40",0.989070140803856
"hdp.14","SBS41",0.991673612327606
"hdp.19","SBS44",0.987980563181207
