Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,2589
low confidence hdp.3,2059
low confidence hdp.4,1796
low confidence hdp.5,1365
low confidence hdp.6,1307
low confidence hdp.7,1196
low confidence hdp.8,930
low confidence hdp.9,800
low confidence hdp.10,798
low confidence hdp.11,600
low confidence hdp.12,600
low confidence hdp.13,600
low confidence hdp.14,588
low confidence hdp.15,200
low confidence hdp.16,200
low confidence hdp.17,51
low confidence hdp.18,7
low confidence hdp.19,2
low confidence hdp.20,2
low confidence hdp.21,2
low confidence hdp.22,2
