Type,Subtype,Indel_size,Repeat_MH_size,W.1 (ID6 0.991),W.2 (False Positive) (ID9 0.886),W.3 (ID2 1),W.4 (ID1 1),W.5 (False Positive) (ID14 0.887),W.6 (False Positive) (ID5 0.434),W.7 (False Positive) (ID5 0.835),W.8 (False Positive) (ID5 0.386),W.9 (False Positive) (ID9 0.26),W.10 (ID4 0.989),W.11 (False Positive) (ID5 0.329),W.12 (ID13 0.974),W.13 (ID11 0.996),W.14 (ID3 0.98),W.15 (ID8 0.984)
DEL,C,1,0,0.019525074452321,0.618588210496587,0.00226208935867887,0,2.55075839752788e-08,2.25858348668101e-182,2.92683350772193e-14,3.30338510232696e-122,0.0291950423018962,0.00867897759974733,0.0211151325791709,6.79477852672913e-30,8.9301737889364e-306,0.0948271022733396,0.0110965793416361
DEL,C,1,1,0.000718130967396582,0.142445412595909,0,0.00038137131427608,0,8.6857758028028e-129,0.0261114230563582,0,0,0,0,2.37872355704784e-240,9.43553700329863e-207,0.247675059089542,0.0195347537407953
DEL,C,1,2,0.00525311428438113,0,0,0,0,0,0.0289790791951128,0,0,0,0,0.00151439222154385,0,0.222728924110725,0
DEL,C,1,3,0,0.0126821674199017,0.00162505430306065,0.00191656292154351,7.3026622335394e-158,1.21735858442927e-129,0.0155693275388116,4.73617464615222e-266,0.011580572169446,9.87281765661319e-05,0.00960650756576204,0.00176702047048618,0,0.0788000477702366,0.00525769810012775
DEL,C,1,4,0.00169562302127614,0.0187962948886443,0.00195910515581315,0.00015443089067157,0.00225709597385486,1.35701075233054e-63,1.27033010166075e-299,0.00539104511085208,0.00310428087960292,0.00171178813906192,0.0377028190520034,0.000860439967624145,7.421932099926e-180,0.0490114807636452,4.83860044197385e-149
DEL,C,1,5+,0.000619831076355441,0,0.00972331271770403,0.00067135687931407,0.00590673741265484,0,1.58742648326047e-221,1.08199775853946e-242,3.6304464809467e-81,0.00162161322764004,0.126129235441146,0,0,0.027939245563141,0
DEL,T,1,0,8.42682980125351e-63,2.40202565200508e-21,0.00352109919878925,4.57698418368838e-86,0.00945382199061504,0.988158945047865,0.104215719044961,1.17718624154015e-32,1.38179215610843e-35,2.51076875835193e-44,0.0515841732315554,4.92462456448464e-37,8.85321187866403e-294,0.0310672275423925,0.0104267490690217
DEL,T,1,1,0,0,0,0,0,0,0.0816272711454961,0,0,0,0,0.795915805476972,0,1.5060293111128e-53,1.66880543070433e-308
DEL,T,1,2,0.0084622613566355,0.139800653157387,0.00475967866999726,3.56263172617657e-139,0.00616776318628889,0,0.203013439176424,1.25986947487778e-07,2.95779527406451e-300,0,0.061400665752652,1.97668732217628e-184,0,4.31914206419101e-51,1.05068363945748e-49
DEL,T,1,3,8.89292052556283e-24,1.17221508052512e-68,0.0141097215857121,4.93033234712748e-22,7.48923728835326e-151,2.30457771072191e-184,0.00027854582094164,0.922515612864784,3.2881416751919e-99,1.47216425543915e-194,0.0269196316815965,7.19291889776008e-103,0,4.35221919500012e-38,1.44112180161814e-96
DEL,T,1,4,7.92543560660987e-87,1.32821551339913e-109,0.0356851448158535,3.59616202551257e-72,4.36199407996351e-172,1.58252472089921e-214,5.86908477491741e-17,8.13365027154845e-95,0.902395954615764,4.48458667323963e-235,0.0483544288282658,2.51952726606196e-127,0,5.64752304277712e-11,3.95554048923605e-209
DEL,T,1,5+,5.20721057363957e-114,4.08597642184761e-172,0.874325003536069,0.00222317054879733,4.85429566925045e-184,5.35006975010511e-231,2.48124895525795e-08,1.13574664392842e-138,3.69259660797566e-119,4.5370222366529e-206,3.90043574569057e-69,9.61042020071862e-126,0,2.93868177486505e-26,1.59003950957572e-90
INS,C,1,0,0,0,0,0,0.744054205840144,0,0,0,0,0,0,0,0,0,0
INS,C,1,1,0.00129252043634954,0,9.39754712528699e-05,0,0.0198541594305588,0,0,0,5.4658858753596e-241,4.30199180154678e-21,0.00225358880758632,0,0.191772688588734,0,0
INS,C,1,2,0,0,1.62790599512826e-05,0,2.40977319656323e-219,0,0.00378948844417478,5.00222495849078e-183,2.9296827276465e-24,0,0.000121020299993258,0.000975382944415591,0.099973734064454,0.00134592505508096,0.00055701068801856
