Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12,W.13
DEL,C,1,0,0.515282553269976,0.00145046751565143,0.00890354117256982,0.0269751411764849,0,4.42805926017608e-06,9.71188875100568e-165,7.70988666080989e-10,0.00433673796913011,3.97469018711705e-86,0.024560350240907,0.0991062956530277,3.35422171723536e-05
DEL,C,1,1,0.121533177721818,0,0.0173874613587448,0,0.000361861943000198,0,2.63965468741027e-292,0.020173689576258,0,9.05416108384308e-52,0.00125436109021194,0.244430581238027,0
DEL,C,1,2,0,0,0,0,0,0,0,0.0227659298543077,5.90705667512428e-57,0.00475279198600387,0.00462734419014295,0.218889991876777,0
DEL,C,1,3,0.0112919890835029,0.00138940878748076,0.00460868084692192,0.00882791841195062,0.00199307151926567,0.0129730356965859,3.41469877458031e-224,0.0125172827480595,0.000160791174471366,0.0031312902624666,0,0.0774356455949003,4.61658218811509e-109
DEL,C,1,4,0.0161438703877612,0.000855164360866518,6.65237166264031e-189,0.0349354749055369,0.000356652891986192,1.50281969772788e-66,0.00645071136392911,2.64597407978785e-215,0.00154912473224325,0.000825946617224244,0.00170033078140953,0.0480877147803262,0.00228812751950757
DEL,C,1,5+,0,0.0063066864410524,0,0.113548105898749,0.00142907882640899,7.02500805377427e-153,0,0,0.00170394416240557,0,0.000712792090903027,0.0272067406365006,0.00595248870571357
DEL,T,1,0,0.16121649579069,0.00127339508343498,0.0276861464645061,0.0649231168702541,0.00130087853966246,1.36084143124122e-06,1.72696188238529e-32,0.146368160044121,0.00195534571095234,0.0295870936353797,5.0856755710185e-161,0.0218316651448021,0.0214793000146282
DEL,T,1,1,0,0,2.04045851398688e-240,0,0,0,0,0.0611448273706574,0,0.765046533034318,0,6.64412528678042e-44,0
DEL,T,1,2,0.110145537000872,0.00303868216578968,9.94443862711045e-73,0.0520071305965328,2.2005341894552e-13,0,0.0591281659650473,0.166173013170758,1.10202421045577e-161,1.80913658019833e-20,0.00784767421920891,4.63011574827018e-67,0.00558756174832318
DEL,T,1,3,1.70443563691484e-29,0.0134576799643394,3.85741635791535e-76,0.0307922633625958,6.0836239894758e-27,2.57190036675207e-107,0.865515383860286,0.0419636229448735,6.71251842229298e-128,2.87937967806316e-59,4.52043833866869e-11,5.4994454318433e-19,3.53133110450381e-109
DEL,T,1,4,8.45834739578062e-58,0.0331184160862845,1.69702077031539e-155,0.0931301534784159,8.78684424354381e-109,0.937797174610696,3.97782170955081e-96,0.00904782666503987,3.05466462079832e-173,1.62060054130595e-77,1.15357847846981e-54,3.40236194224029e-24,6.4499577042628e-116
